"","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51","sample52","sample53","sample54","sample55","sample56","sample57","sample58","sample59","sample60","sample61","sample62","sample63","sample64","sample65","sample66","sample67","sample68","sample69","sample70","sample71","sample72","sample73","sample74","sample75","sample76","sample77","sample78","sample79","sample80","sample81","sample82","sample83","sample84","sample85","sample86"
"LINC01232",0.5,1.5,1,1,1,3,1,2,1.5,1,1,1.5,1,1,1.5,1,1,1,1,1,1,1,2,1.5,1,1.5,0.5,1,1,1.5,1.5,2.5,2,2,0.5,0.5,1,1,1,2,1.5,0.5,1
"LINC01235",1,1,1,1,1,2.5,1,1.5,1.5,2,1.5,1.5,1,1,1,0.5,0.5,1,3.5,1,1,1,1.5,1,1,1,0.5,0.5,2,3.5,1.5,1.5,1,1.5,0.5,0.5,1,0.5,1,1,1,0.5,3.5
"LINC01239",1,1,0,1,1,2.5,1,1.5,1.5,0,1.5,1.5,0.5,1,1,0.5,0.5,0,3.5,1,1,1,1.5,1,1,1,0.5,0.5,2,1,1.5,1.5,1,1.5,0.5,0.5,1,0.5,1,1,1,0.5,0.5
"LINC01252",3,2.5,2.5,2,1,2,3.5,2,2,1,1,1.5,1,0.5,1.5,1,1,1,1.5,1,1,1,1.5,1.5,1,1,1,1,2,1,1,2,2,2,0.5,2,1,1,2,2.5,1.5,2,0.5
"LINC01269",0.5,1,1.5,2,1.5,2,1.5,2,1.5,1,1,1.5,1,1,2.5,1,1,1.5,1.5,1,1,1,2,2,1,1,1,2,1,1,0.5,1.5,2,2,1,1,1,0.5,1.5,1.5,2,1,1
"LINC01270",1,1.5,1.5,2,1,3,1,2,2,1,1,1.5,1,2,1.5,1,1.5,1,1,1,1,1,2,2.5,1,1,1,1,2,1.5,1,3,3,1.5,1,1,1,1,1.5,2,1.5,1.5,1
"LINC01291",1,1.5,2,1.5,1,2,2,1,1.5,1.5,1,2.5,1,1,1.5,1,1,2,1,1,1,1,1,1.5,1,1,1,1,2,1,1,2,3,1.5,1,1,1.5,1,2,2.5,1.5,1,1
"LINC01301",1,2,1.5,2,2,1.5,1.5,2,2,1,1.5,2,1,1.5,1.5,1,1,2,2,1.5,1,1.5,2,2.5,2,1,0.5,1.5,2,1,0.5,3,2,2.5,2,1,1,1,1.5,1.5,2.5,1,1
"LINC01315",1,1.5,2,2,0.5,2,1.5,1.5,1.5,1,1,1.5,1,1,1,1,1,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1.5,1,1,1,1,1,2,1.5,1,1
"LINC01348",1,1.5,2,1.5,1,2.5,1.5,2,1.5,1,1,1.5,1,2.5,2,1,1,1.5,1,1,1,1,1,2,1,1,1,1,2,1,1,2.5,1.5,3,1,1,1.5,1.5,1.5,2,2.5,1.5,1
"LINC01354",1,1.5,2,1.5,1,2.5,1.5,2,1.5,1,1,1.5,1,2.5,2,1,1,1.5,1,1,1,1,1,2,1,1,1,1,2,1,1,2.5,1.5,3,1,1,1.5,1.5,1.5,2,2.5,1.5,1
"LINC01355",1.5,1,1,1.5,1,2,1,2,1.5,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1.5,2,1,1,1,1,1,1,1,2,1.5,1,1,1,1,0.5,1.5,1,1,1,1
"LINC01358",1,1,1,1,1,2,2,2,1.5,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1.5,2,1,1,1,1,1,1,1,3,1.5,1.5,1,1,1,0.5,1.5,1.5,1,1,1
"LINC01376",1,2,2,1.5,1,1,2,1,1.5,1.5,1,2,1,1,1.5,1,1,2,0.5,1,1,1.5,1,1.5,1,1,1,1,2,1,1,2,2,1.5,1,1,1.5,1,1.5,2.5,1.5,1,1
"LINC01395",0.5,1,2,1,1,2,1,1,1,1,1,1.5,1,0.5,1.5,1,1.5,1,1,1,1,1,2,2,1,0.5,1,1,1.5,0.5,0.5,1,2,2,1.5,1,1,0.5,1,1.5,1,1,1
"LINC01405",1,1.5,1.5,2,1,2,1.5,2,2,1,1,1.5,1,1,1,1,1,1.5,1,1,1,1,1.5,1.5,1,1,1,1,2,1,1,2,1.5,2,1,1,1,0.5,1,1.5,1,1,1
"LINC01415",1.5,1,1.5,0.5,1,2,1,1.5,1.5,1,1,1,1,1,1,1,0.5,1,0.5,1,1,0.5,1.5,1,0.5,0.5,0.5,1,1,0.5,1,1,2,1,0.5,1.5,1,0.5,1,1,1,1,1
"LINC01422",1,1.5,2,2,0.5,2,1.5,1.5,1.5,1,1,2,1,1,1.5,1,1,1.5,1,1,1,1,1,1.5,1,1,1,1,1,1,1,2.5,2,1.5,1,1,1,1,1,2,1.5,1,1
"LINC01426",1,1,1,1,1,1,1,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,0.5,0.5,0.5,1,1,1,1.5,2,1.5,1,0.5,1,1,1,1.5,1,1,1
"LINC01431",0.5,1.5,1.5,2,1,3,1.5,2,2.5,1,1,1.5,1,1,1.5,1,1,1,1,1,1,1,2,2.5,1,1,1,1,3,1,1,3,3,1.5,1,1,1,1,1,2,1.5,2,1
"LINC01436",1,1,1,1,1,1,1,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,0.5,0.5,0.5,1,1,1,1.5,2,1.5,1,0.5,1,1,1,1.5,1,1,1
"LINC01451",1,1,2,2,1,2,1.5,2.5,1.5,2,1.5,1.5,1,1,2,0.5,1,2,2,1,1,1,1.5,1,1,1,1,1,2,0.5,1.5,1.5,2,1.5,1,1,1,1,1,2,1,1.5,1
"LINC01465",1,1.5,1.5,2,1,2,3.5,2,2,1,1,1.5,1,1,2.5,1,0.5,1.5,1,1,1,1,1.5,1.5,1,1,1,1,1.5,1,1,2,1.5,2,1,1,1,1,2,1.5,1,1,1
"LINC01473",0.5,1.5,2,1.5,1,1,1,2,1.5,1.5,1,2,1,1,1.5,1,1,3,1,1,1,1,1,1.5,1,1,1,1,1,1.5,1,2.5,1,1.5,1,1.5,1.5,1.5,2,2,1.5,1,0
"LINC01475",0.5,1,1.5,1.5,1,2,1,1.5,1.5,1,1,1,1,1,1.5,1,0.5,1.5,1,1,1,1,1,1.5,1,0.5,0.5,1,1,1,1,1.5,1.5,2,1,1,1,1,1.5,1.5,1,1,1
"LINC01482",1,1.5,2,1.5,1,2,1.5,2,1.5,1,1,2,1,1,2,1,1,1.5,2,1,1,1,1,1.5,1,1,1,1,2,1,1,2,2,1.5,1,1,1.5,1,1,2,1,1,1
"LINC01497",1,1.5,2,1.5,1,2,1.5,2,1.5,1,1,2,1,1,2,1,1,1.5,1.5,1,1,1,1,1.5,1,1,1,1,2,1,1,2,2,1.5,1,1,1.5,1,1,2,1,1,1
"LINC01503",1,1.5,2,2,1,2,1.5,2.5,1.5,2,1.5,1.5,1,1,2,0.5,1,2,2,1,1,1,1,2,1,1,1,1,2,0.5,1.5,1.5,2,1.5,1,1,1,1,1,2,1,1.5,1
"LINC01515",0.5,1,1.5,1.5,1,2,1.5,1.5,1.5,1,1,1,1,1,1.5,1,1,1.5,1,1,1,1,1,1.5,1,0.5,0.5,1,1,1,1,1.5,1.5,1.5,1,1,1,1,1.5,1.5,1,1,1
"LINC01521",1,1.5,2,2,0.5,2,1.5,1.5,1.5,1,1,2,1,1,1.5,1,1,1.5,1,1,1,1,1,1.5,1,1,1,1,1,1,1,2.5,2,1.5,1,1,1,1,1,2,1.5,1,1
"LINC01534",1.5,1.5,1,2,0.5,1.5,2,2,1.5,1,1,1.5,1,1,2,1,0.5,3,1,1,1,1,1,1.5,1,1,1,1,1.5,1,1,2,2,1.5,1,1,1,1,1.5,1,1,1,1
"LINC01535",1.5,1.5,1,2,0.5,1.5,2,2,1.5,1,1,1.5,1,1,2,1,0.5,3,1,1,1,1,1,1.5,1,1,1,1,1.5,1,1,2,2,1.5,1,1,1,1,1.5,1,1,1,1
"LINC01537",1,1,2,1.5,1,2,1,3.5,2,1,1,1.5,1,1.5,1.5,1,1.5,1,1,1,1,1,2,2,1,1,1,1,1.5,0.5,0.5,3.5,2,2,1,1,1,0.5,1.5,3,2.5,1,1
"LINC01547",1,1,1,1,1,1,1,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,0.5,0.5,0.5,1,1,1,1.5,1,1.5,1,0.5,1,1,1,1.5,1,1,1
"LINC01549",1,1,1,1,1,1,1.5,1.5,1,1,1,1.5,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1,0.5,0.5,1,0.5,1,1.5,2,1,1.5,0.5,1,1,1,1.5,1,1,1
"LINC01554",1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0.5,1,1,1,1,0.5,1,1,1,1,0.5,1,1,1,1,2,1,1.5,1,0.5,1,1,1,1,1,0.5,1
"LINC01558",1,1,1.5,1.5,1,2,1,2,2,1.5,1,1,1,1,1,1,1,1,1.5,1,1,1,0.5,2.5,1,1,1,0.5,2,1,1,2,1.5,1,1,1,1,1,1,1,1,1,1
"LINC01559",1,2.5,2.5,2,1,2,3.5,2,2,1,1,1.5,1,0.5,1.5,1,1,1,1.5,1,1,1,1.5,1.5,1,1,1,1,2,1,1,2,2,2,0.5,2,1,1,2,2.5,1.5,2,0.5
"LINC01563",0.5,1,1.5,1,1,2,1.5,2,1.5,1,1,1,1,1,2,1,1,1.5,1,1,1,1,1.5,1.5,1,0.5,1,1,2,1,1,1,2,1.5,0.5,1,1,1,1.5,2,1,1,1
"LINC01564",1,1,2,1.5,1,2,1,2,2,1.5,1,1.5,1,1,3.5,1,0.5,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1.5,2,1,0.5,1,1,1.5,2,1.5,1,1
"LINC01569",1,1,1.5,1.5,1,2,1.5,1.5,1.5,1,1,1,1,0.5,1.5,1,1,1,1,1,1,1,1,2.5,0.5,1,1,1,1,1,1,2.5,2,2,1,1,1,1,2,2.5,1.5,1,1
"LINC01572",1.5,1,1,2,1,2,1.5,1.5,1.5,1,1,1,1,1,1.5,1,1,1,1,1,1,1,1.5,1.5,1,1,1,1,1,1,1,3,2,1.5,1,1,1,1,2,2,1.5,2,1
"LINC01587",0.5,1,1,1,0.5,1.5,1,1.5,1.5,1,1,1.5,1,0.5,1,1,1,1,1,1,1,1,1.5,3,0.5,0.5,0.5,0.5,0,1,0.5,1.5,1,1.5,1,1,1,0.5,1,1,1,1,1
"LINC01588",3,1.5,1.5,2,1.5,2,1.5,2,1.5,1,1,1.5,1,1,2.5,1,1,1.5,1.5,1,1,1,2,2,1,1,1,1.5,1,1,0.5,1.5,2,2,1,1,1,0.5,1.5,1.5,2,1,1
"LINC01589",1,1.5,2,2,0.5,2,1.5,1.5,1.5,1,1,1.5,1,1,1,1,1,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.5,1.5,1,1,1,1,1,2,1.5,1,1
"LINC01600",1,1,1.5,1.5,1,2,1,2,2,1.5,1,1.5,1,1,1.5,1,0.5,2,1,1,1,1,1,2,1,1,1,0.5,1,1,1,2,2,2,1,1,1,1,1.5,2,1,1,1
"LINC01605",1,1,1.5,1.5,0.5,1.5,1.5,2,1,1,1.5,1.5,1,1.5,1.5,1,0.5,1,0.5,0.5,1,0.5,1,1,0.5,1,1,1.5,1,2,1,1,3.5,2.5,1,1,1,0.5,1.5,1,1,1,1
"LINC01612",1,0.5,1,2,1,1.5,1,2,1.5,1,1,1,1,1.5,1,1,1,1,1,1,1,0.5,1,1.5,1,1,1,1,1,1,1.5,2,1.5,2,0.5,0.5,1,0.5,0.5,1.5,1,1,1
"LINC01615",1,1,1.5,1.5,1,2,1,2,2,1.5,1,1,1,1,1,1,1,1,1.5,1,1,1,0.5,2.5,1,1,1,0.5,2,1,1,2,1.5,1,1,1,1,1,1,1,1,1,1
"LINC01618",1,1,2,2,1,1.5,1.5,2,1.5,1,1,3.5,1,1,2.5,1,1,1.5,1,1,1,1,1,1.5,1,1,1,1,1,1,1.5,3,1.5,1.5,1,0.5,1,0.5,1.5,2,1,1,1
"LINC01619",1,1.5,1.5,2,1,2,1.5,2,2,1,1,1.5,1,1,1,1,0.5,1.5,1,1,1,1,1.5,1.5,1,1,1,1,2,1,1,2,1.5,2,1,1,1,0.5,1,1.5,1,1,1
"LINC01634",1,1.5,2,2,0.5,2,1.5,1.5,1.5,1,1,2,1,2,1.5,1,1,1.5,1,1,1,1,1.5,1.5,1,1,1,1,1,1,1,2.5,2,1.5,1.5,1,1,1,1,3,1.5,1,1
"LINC01644",1,1.5,2,2,0.5,2,1.5,1.5,1.5,1,1,1.5,1,1,1,1,1,1.5,1.5,1,1,1,1,1,1,1,1,1,1,1,1,2,1.5,1.5,1,1,1,1,1,2,1.5,1,1
"LINC01671",1,1,1,1,1,1,1,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,0.5,0.5,0.5,1,1,1,1.5,2,1.5,1,0.5,1,1,1,1.5,1,1,1
"LINC01686",1,2,2,1.5,1,1.5,1.5,2,1.5,1,1,1.5,1,2.5,2,1,1,1.5,1,1,1,1,1,2,1,1,1,1,2,1,1,2.5,1.5,2,1,1,1.5,1.5,1.5,2,2.5,1.5,1
"LINC01697",1,1,1,1,1,1,1.5,1.5,1,1,1,1.5,1,1,1,1,1,1,1,1,1,1,1,1.5,1,0.5,0.5,0.5,1,0.5,1,1.5,2,1.5,1,0.5,1,1,1,1.5,1,1,1
"LINC01703",1,1.5,2,1.5,1,2.5,1.5,2,1.5,1,1,1.5,1,2.5,2,1,1,1.5,1,1,1,1,1,2,1,1,1,1,2,1,1,2.5,1.5,3,1,1,1.5,1.5,1.5,2,2.5,1.5,1
"LINC01705",1,1.5,2,1.5,1,2.5,1.5,2,1.5,1,1,1.5,1,2.5,2,1,1,1.5,1,1,1,1,1,2,1,1,1,1,2,1,1,2.5,1.5,3,1,1,1.5,1.5,1.5,2,2.5,1.5,1
"LINC01715",1,1,1,1.5,1,2,1,2,1.5,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1.5,2,1,1,1,1,1,1,1,2,1.5,1.5,1,1,1,0.5,1.5,1,1,1,1
"LINC01725",1,1,1,1,1,2,1,2,1.5,1,1,1.5,1,1,1,1,1,1.5,1,1,1,1,1,2,1,1,1,1,1,1,1,1.5,1.5,1.5,1.5,0.5,1,0.5,1,1.5,1,1,1
"LINC01726",0.5,1.5,1.5,2,1,3,1.5,2,2.5,1,1,1.5,1,1,1.5,1,1,1,1,1,1,1,2,2.5,1,1,1,1,3,1,1,3,3,1.5,1,1,1,1,1,2,1.5,2,1
"LINC01748",1,1,1,1,1,2,1,2,1.5,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1.5,2,1,1,1,1,1,1,1,3,1.5,1.5,1,1,1,0.5,1.5,1.5,1,1,1
"LINC01752",1,1.5,1.5,2,1,3,1.5,2,2.5,1,1,1.5,1,1.5,1.5,1,1,2.5,1,1,1,1,2,2.5,1,1,1,1,3.5,1,1,3,2,1.5,1,1,1,1,1,2,2,2,1
"LINC01765",1,1,2,1,1,2,1,2,1.5,1,1,1,1,0.5,1,1,1,1.5,1,1,1,1,1,2,1,1,0.5,1,1,1,1,2.5,1.5,1.5,0.5,0.5,1,1,1,1.5,1,1,1
"LINC01772",1,1,1,1.5,1,2,1,2,1.5,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1.5,2,1,1,1,1,1,1,1,2,1.5,1,1.5,1,1,0.5,1.5,1,1,1,1
"LINC01798",1,1.5,2,1.5,1,2,2,1,1.5,1.5,1,2.5,1,1,1.5,1,1,2,1,1,1,1,1,1.5,1,1,1,1,2,1,1.5,2,3,1.5,1,1,1.5,1,2,2.5,1.5,1,1
"LINC01801",1.5,1.5,1,2,0.5,1.5,2,2,1.5,1,1,1.5,1,1,2,1,0.5,3,1,1,1,1,1,1.5,1,1,1,1,1.5,1,1,2,2,1.5,1,1,1,1,1.5,1,1,1,1
"LINC01805",1,1.5,2,1.5,1,2,2,1,1.5,1.5,1,2.5,1,1,1.5,1,1,2,1,1,1,1,1,1.5,1,1,1,1,2,1,1.5,2,3,1.5,1,1,1.5,1,2,2.5,1.5,1,1
"LINC01806",1,1.5,2,1.5,1,2,1,2,1.5,1.5,1,1.5,1,1,1.5,1,1,1,1,1,1,1,1,1.5,1,1,1,1,2,1.5,1,2.5,2,1.5,1,1,1.5,1,1,2.5,1,1,1
"LINC01814",1,2,2,1.5,1,2,2,1,1.5,1.5,1,2,1,1,1.5,1,1,2,0.5,1,1,1.5,1,1.5,1,1,1,1,2,1,1,2,2,1.5,1,1,1.5,1,1.5,2.5,1.5,1,1
"LINC01816",1,1.5,2,1.5,1,2,2,1,1.5,1.5,1,2.5,1,1,1.5,1,1,2,1,1,1,1,1,1.5,1,1,1,1,2,1,1.5,2,3,1.5,1,1,1.5,1,2,2.5,1.5,1,1
"LINC01819",1,2,2,1.5,1,2,2,1,1.5,1.5,1,2,1,1,1.5,1,1,2,1,1,1,1,1,1.5,1,1,1,1,2,1,1.5,2,2,1.5,1,1,1.5,1,1.5,2.5,1.5,1,1
"LINC01829",1,1.5,2,1.5,1,2,2,1,1.5,1.5,1,2.5,1,1,1.5,1,1,2,1,1,1,1,1,1.5,1,1,1,1,2,1,1.5,2,3,1.5,1,1,1.5,1,2,2.5,1.5,1,1
"LINC01836",1,1,1,1,0.5,1,1,2,1.5,1,1,1.5,1,0.5,1,1,1,1.5,1,1,1,1,1,1.5,1,0.5,1,1,1.5,1,1,2,1,1,0.5,1,1,1,1,1,1,1,1
"LINC01852",1,1,1,1.5,1,2,1.5,1,1.5,1.5,1,1,1,1,2,1,1,1,1,1,1,1,1.5,2,0.5,0.5,0.5,1,1,1,1,2,2,1.5,1,1,1,1,1.5,1.5,1.5,1,1
"LINC01854",1,1.5,2,1.5,1,2,1,2,1.5,1.5,1,1.5,1,1.5,1.5,1,1,1,1,1,1,1,1,1.5,1,1,1,1,2,1,1,1.5,2,1.5,1,1,1.5,1,1,2,1,1,1
"LINC01871",1,2,2,1.5,1,2,2,1,1.5,1.5,1,2,1,1,1.5,1,1,2,0.5,1,1,1.5,1,1.5,1,1,1,1,2,1,1,2,2,1.5,1,1,1.5,1,1.5,2.5,1.5,1,1
"LINC01876",1,1,2,1.5,1,2,1,2,1.5,1.5,1,1.5,1,1,1.5,1,1,1,1,1,1,1,1,1.5,1,1,1,1,2,1.5,1,1.5,2,1.5,1,1,1.5,1,1,2.5,1,1,1
"LINC01882",1,1.5,1,1.5,1,2,2,1.5,1.5,1,1,1,1,1,3,1,1,1,2.5,1,1,0.5,1,2,1,0.5,1,1,2,1,1,1.5,2.5,3,1,0.5,1,1.5,1.5,1,1,1,1
"LINC01886",1,1.5,2,1.5,1,2,3,2,1.5,1.5,1,1.5,1,1,1.5,1,2,1,1,1,1,1,1,1.5,1,1,1,1,2,1,1,2,2,1.5,1,1,1.5,1,1,2,1.5,1,1
"LINC01889",1,1.5,2,1.5,1,2,1,2,1.5,1.5,1,1.5,1,1,1.5,1,1.5,1,1,1,1,1,1,1.5,1,1,1,1,2,1,1,2,2,1.5,1,1,1.5,1,1,2,1,1,1
"LINC01894",1.5,1,1.5,1,1,2,1.5,1.5,1.5,1,1,1,1,1,1,1,0.5,1,0.5,1,1,0.5,1.5,2,1,1,1,1,3,0.5,1,1,2,1,1,1.5,1,0.5,1,1,1,1,1
"LINC01907",1,1,1.5,1.5,1,2,1,2,1.5,1.5,1,1,1,1,1.5,1,1,1.5,1,1,1,1,1,1.5,1,1,1,1,1,0.5,1,2.5,1,1,1,0.5,1.5,1,1,1,1,1,1
"LINC01936",1,2,2,1.5,1,2,2,1,1.5,1.5,1,2,1,1,1.5,1,1,2,0.5,1,1,1.5,1,1.5,1,1,1,1,2,1,1,2,2,1.5,1,1,1.5,1,1.5,2.5,1.5,1,1
"LINC01948",0.5,1.5,1,1,1,1,2.5,2,1,1,1,1,1,1,1.5,1,0.5,1,1,1,1,1.5,1,1,1,1,0.5,1,1,0.5,1,2,1,1.5,1,0.5,1,1,1,1,1,0.5,1
"LINC01963",0.5,1,0.5,1.5,1,2,1,2,1.5,1.5,1,1,1,1,1.5,1,1,1.5,1,1,1,1,1,1.5,1,1,1,1,1,0.5,1,2.5,1,1,1,0.5,1.5,1,1,1,1,1,1
"LINC01977",1,1,2,1.5,1,2,1.5,2,1.5,1,1,2,1,1,1,1,1,1.5,1,1,1,1,1.5,1.5,1,1,1,1,1,1,1,2,2,1.5,1.5,1,1.5,1,1,2,1,1,1
"LINC01978",1,1,2,1.5,1,2,1.5,2,1.5,1,1,2,1,1,1,1,1,1.5,1,1,1,1,1.5,1.5,1,1,1,1,1,1,1,2,2,1.5,1.5,1,1.5,1,1,2,1,1,1
"LINC01996",0.5,1,1.5,1,1,2,2,2,1.5,1,1,1,1,1,2,1,1,1.5,1,1,1,1,1.5,1.5,1,0.5,1,1,2,1,1,1,2,1,0.5,1,1,1,1.5,2,1,1,1
"LINC02005",1,1,1,1,0.5,1,1,1,1,1,1,1,1,0.5,1,0.5,0.5,1,0.5,1,1,0.5,1,1,1,0.5,0.5,0.5,1,1,1.5,1,1,1,0.5,0.5,1,0.5,1,1,0.5,0.5,1
"LINC02006",2,3.5,3.5,3,1.5,2,2,2,2,1,1,3.5,1,1.5,2.5,1.5,1,1,1.5,1,1,1,1.5,2,1,1.5,1.5,1,2.5,1,1.5,3,2,1.5,1,1.5,1.5,1.5,3.5,3.5,1,1.5,1
"LINC02009",1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,0.5,1,1,0.5,1,1,1,0.5,0.5,0.5,1,1,0.5,1,1,1.5,0.5,0.5,1,0.5,1,1,0.5,0.5,1
"LINC02012",2,3.5,3.5,3,1.5,2,2,2,2,1,1,3.5,1,1.5,2.5,1.5,1,1.5,2,1,1,1,1.5,2,1,2.5,1.5,1.5,2.5,1,1.5,3,3.5,1.5,1,1,1.5,1.5,3.5,3.5,2,1.5,1
"LINC02018",1,1,1,1,0.5,1,1,1,1,1,1,1,1,0.5,1,0.5,0.5,1,0.5,1,1,0.5,1,1,1,0.5,0.5,0.5,1,1,1.5,1,1,1,0.5,0.5,1,0.5,1,1,0.5,0.5,1
"LINC02019",1,1,1,1,0.5,1,1,1,1,1,1,1,1,0.5,1,0.5,0.5,1,0.5,1,1,0.5,1,1,1,0.5,0.5,0.5,1,1,0.5,1,1,1,0.5,0.5,1,0.5,1,1,0.5,0.5,1
"LINC02021",2,1,2.5,3,1.5,2,2,2,2,1,1,3.5,1,1.5,2.5,0.5,1,1,1.5,1,1,1,1.5,2,1,1.5,1,1,2,1,1.5,3,2,1.5,1,1.5,1.5,1.5,2,2,1,1,1
"LINC02026",2,3.5,3.5,3,1.5,2,1.5,2,2,1,1,3.5,1,1.5,2.5,1.5,1,1.5,2,1,1,1,1.5,2,1,2.5,1.5,1.5,2.5,1,1.5,3,3.5,1.5,1,1,1.5,1.5,3.5,3.5,2,1.5,1
"LINC02028",2,3.5,3.5,3,1.5,2,1.5,2,2,1,1,3.5,1,1.5,2.5,1.5,1,1.5,2,1,1,1,1.5,2,1,2.5,1.5,1.5,2.5,1,1.5,3,3.5,1.5,1,1,1.5,1.5,3.5,3.5,2,1.5,1
"LINC02036",2,3.5,3.5,3,1.5,2,1.5,2,2,1,1,3.5,1,1.5,2.5,1.5,1,1.5,2,1,1,1,1.5,2,1,2.5,1.5,1.5,2.5,1,1.5,3,3.5,1.5,1,1,1.5,1.5,3.5,3.5,2,1.5,1
"LINC02038",2,3.5,3.5,3,1.5,2,1.5,2,2,1,1,3.5,1,1.5,2.5,1.5,1,1.5,2,1,1,1,1.5,2,1,2.5,1.5,1.5,2.5,1,1.5,3,3.5,1.5,1,1,1.5,1.5,3.5,3.5,2,1.5,1
"LINC02055",1,2,1.5,2,2,1,3.5,2,2,1,1.5,2,1,1.5,1.5,1,1,2,2,1.5,1,1.5,2,3,2,1,1.5,1.5,2,1,1,3,3,2.5,2,1,1,2,1.5,2,2.5,1,1
"LINC02057",0.5,1.5,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1.5,1,1,1,1,0.5,1,1,0.5,1,1.5,1,1.5,1,0.5,1,1,1,1,1,0.5,1
"LINC02062",1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0.5,1,1,1,1,0.5,1,1,1,1,0.5,1,1,1,1,2,1,1.5,1,0.5,1,1,1,1,1,0.5,1
"LINC02099",1,1,1,1.5,0.5,1.5,1.5,2,1,1,1.5,1.5,1,1.5,1.5,1,0.5,1,0.5,0.5,1,0.5,1,1,0.5,1,1,1.5,1,0.5,1,1,1,2.5,0.5,1,1,0.5,1.5,1,1,1,1
"LINC02159",1,1,1,1,1,1,1.5,2,1,1,1,1,1,1,1,1,0.5,1.5,1,1,1,0.5,1,1.5,1,1,0.5,1,1.5,1,1,2,1,1.5,1,0.5,1,1,1,1,1,0.5,1
"LINC02160",1,2,1.5,3,1,3.5,1,2,3,1,1,1.5,1,1.5,1.5,1,1,1.5,1,1,1,1,3.5,1.5,1,2,1.5,1,1,1,1,3.5,3,1.5,2,2,1,1,3,2,1.5,1,1
"LINC02175",1,2.5,1.5,1.5,1,2,1.5,1.5,1.5,1,1,1,1,1,1.5,1,1,1,1,1,1,1,1,2.5,0.5,1,1,1,2,1,1,2.5,2,1.5,1,1,1,1,2,2,1,1,1
"LINC02178",1.5,1.5,2,2,1,2,1.5,1.5,1.5,1,1,1,1,1,1.5,1,1,1,1,1,1,1,1.5,1.5,0.5,1,1,1,1,1,1,2.5,2,1.5,1,1,1,1,2,2,1.5,2,1
"LINC02185",1,1,1.5,1.5,1,2,1.5,1.5,1.5,1,1,1,1,1,1.5,1,1,1,1,1,1,1,1,2.5,0.5,1,1,1,1,1,1,2.5,2,1.5,1,1,1,1,2,2,1,1,1
"LINC02188",1.5,1,1,2,1,2,1.5,1.5,1.5,1,1,1,1,1,1.5,1,1,1,1,1,1,1,1.5,1.5,1,1,1,1,1,1,1,3,2,1.5,1,1,1,1,2,2,1.5,2,1
"LINC02202",1,1,1,1,1,1,1.5,2,1,1,1,1,1,1,1,1,0.5,1.5,1,1,1,0.5,1,1.5,1,1,0.5,1,1.5,1,1,2,1,1.5,1,0.5,1,1,1,1,1,0.5,1
"LINC02240",1,1,1,1,1,1,1.5,2,1,1,1,1,1,1,1,1,0.5,1,1,1,1,0.5,1,1,1,1,0.5,1,1,1,1,2,1,1.5,1,0.5,1,1,1,1,1,0.5,1
"LINC02245",1,1.5,2,1.5,1,2,2,1,1.5,1.5,1,2.5,1,1,1.5,1,1,2,1,1,1,1,1,1.5,1,1,1,1,2,1,1.5,2,3,1.5,1,1,1.5,1,2,2.5,1.5,1,1
"LINC02273",1,0.5,1,2,1,1.5,1,2,1.5,1,1,1,1,1,1,1,1,1.5,1,1,1,0.5,1,1.5,1,1,1,1,1,1,1.5,2,1.5,2,1,0.5,1,0.5,0.5,1.5,0.5,0,1
"LINC02289",0.5,1,1.5,2,1.5,2,1.5,2,1.5,1,1,1.5,1,1,2.5,1,1,1.5,1.5,1,1,1,2,2,1,1,1,2,1,1,0.5,1.5,2,2,1,1,1,0.5,1.5,1.5,2,1,1
"LINC02303",0.5,1.5,3.5,2,1.5,2,1.5,2,1.5,1,1,1.5,1,1,2.5,1,1,1.5,1.5,1,1,1,2,2,1,1,1,1.5,1,1,0.5,1.5,2,2,1,1,1,0.5,1.5,1.5,2,1,1
"LINC02308",0.5,1,1.5,2,1.5,2,1.5,2,1.5,1,1,1.5,1,1,2.5,1,1,1.5,1.5,1,1,1,2,2,1,1,1,2,1,1,0.5,1.5,2,2,1,1,1,0.5,1.5,2,2,1,1
