,padjScreen,p_naive,p_aware
BET1-AS1,6.410197054192725e-13,1.8836998113003383e-06,3.7693780404281414e-13
BFSP1,0.03986388298731529,0.023441096095525044,0.6814608209009408
BHLHE22,0.0006958183656774642,0.14830081981490043,0.00040916097360778206
BHLHE40,0.022835337528312096,0.25356495193624357,0.01342782742828242
BHLHE40-AS1,0.1471748366725747,,
BHLHE41,0.00046318818678055257,0.04300050650069737,0.00027236781725678463
BHMT2,3.4409808819474715e-14,2.0233945484503196e-14,9.422869900346479e-13
BICC1,0.9333904918471618,,
BICD1,5.546669335080614e-12,3.2615992008379894e-12,0.0022615302768361116
BICDL1,2.3433730024707384e-18,1.3779699221988678e-18,3.3974177976524665e-14
BICRA,0.000511189883934569,0.00030059417935235957,0.7324740640729498
BICRAL,1.0821246551215225e-15,1.2466761377204864e-10,6.363200503100022e-16
BID,2.233126469210919e-21,1.313141827525696e-21,2.4237582601102748e-09
BIK,4.9267908180608794e-52,2.8970930163894045e-52,2.8074986480214976e-43
BIN1,1.76043836615396e-05,0.002328070132155768,1.0351877895185258e-05
BIN2,2.8315352671138483e-25,8.274679109504511e-20,1.6650232069817242e-25
BIN3,0.04645715788134156,0.027318129108697936,0.4783794220344161
BIRC5,2.4567651197553425e-120,1.444647709673541e-120,1.1517718255160433e-102
BIRC6,2.380455610843125e-08,1.3997755497792628e-08,0.8145574854970637
BIRC7,8.616672517768986e-05,0.0017976725782766726,5.066848319240854e-05
BISPR,0.14333156925054794,,
BIVM,0.9209752396708226,,
BLACAT1,8.220903747625374e-33,4.834125034971325e-33,2.2084434228790016e-23
BLCAP,1.1023404119516467e-14,6.482074898414071e-15,5.5879570908308474e-05
BLK,2.1014460502135593e-07,0.017336828211157864,1.2357099989053302e-07
BLM,2.3419727178003685e-106,1.3771465150177443e-106,7.307363275708794e-92
BLMH,5.487200582244026e-19,3.2266298841167094e-19,6.91390679485253e-11
BLNK,0.008057752323289043,0.031813393674276096,0.004738187360831387
BLOC1S1,2.628828034193445e-07,0.028675610827278476,1.5458255932505897e-07
BLOC1S2,0.3116006027989694,,
BLOC1S3,7.88855278812225e-12,4.6386932256407674e-12,0.004106864379925235
BLOC1S4,1.410927294182399e-10,4.174207805824107e-10,8.29665346380151e-11
BLOC1S5,0.02198497314585827,0.012927789004738613,0.2607488916626872
BLOC1S6,0.03267065516951128,0.019211273712998942,0.07606014656310704
BLVRA,9.144068063347831e-11,0.0005732168191229129,5.37697188819171e-11
BLZF1,1.610480712971667e-05,9.470084277733573e-06,0.6636025811918987
BMF,0.03234614275291458,0.019020451189662346,0.11307977577599154
BMP1,9.668632795870082e-10,3.6408517389978965e-05,5.685430858615896e-10
