"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36"
"ABCE1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,0.5,1,1,1,2,1.5,2,0.5,1,1,1.5,2
"ABCF1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,2,0.5,1,1,1,1,2,2,2,1,1,1,1,2
"ABCF2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.5,1.5,2,3,0.5,1,1,1.5,2
"ABCF3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1,1,1,2,1,2,1,1,1,1.5,2
"ABCG1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0.5,2,1.5,2,1,1,1,3.5,2
"ABCG2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,0.5,1,1,2,2,1.5,2,0.5,1,1,1,2
"ABCG4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,0.5,1,1,1,1,1.5,3,0.5,1,0.5,1.5,2
"ABCG8",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,1,1,1,1.5,1.5,1.5,2,1,1,1,1,2
"ABHD1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,1,1,1,1.5,1.5,1.5,2,1,1,1,1,2
"ABHD10",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.5,2,0.5,1,1,2.5,2
"ABHD11",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,2,3,1,1,1,1.5,2
"ABHD11-AS1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,2,3,1,1,1,1.5,2
"ABHD12",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,0.5,1,1,1,4,2,2,1,1,1,1.5,2
"ABHD12B",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,0.5,1,1,0.5,2,2,2,1,1,1,2,2
"ABHD13",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.5,0.5,1,1,0.5,1,1,2,0.5,1,1,3,1
"ABHD14A",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,2,1.5,2,0.5,1,1,1,2
"ABHD14B",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,2,1.5,2,0.5,1,1,1,2
"ABHD15",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.5,0.5,1,1,1.5,2,1.5,2,1,1.5,1,1,2
"ABHD16A",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0.5,1,1,1,1,2,2,2,1,1,1,1,2
"ABHD17A",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,0.5,2,1,3,1,1,1,1,2
"ABHD17B",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,0.5,1,1,1,1.5,1.5,2,0.5,1,0.5,2,2
"ABHD17C",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1,1.5,1,2,0.5,1,1,2,2
"ABHD18",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,0.5,1,1,1,2,1.5,2,0.5,1,1,1,2
"ABHD2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1,1.5,1,2,0.5,1,1,2,2
"ABHD3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.5,0.5,1,1,1,2,1,2,1,1,1,1.5,2
"ABHD4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1,1,1,0.5,2,2,2,1,1,1,2,2
"ABHD5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,2,1.5,2,0.5,1,1,1,2
"ABHD6",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,2,1.5,2,0.5,1,1,1,2
"ABHD8",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1,0.5,2,1,3,1,1,1,1.5,2
"ABI1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,1,1,1,1,2,1.5,2,1,1,1,2.5,2
"ABI2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,1,1,1,1,1,1.5,1,2,1,1,1,1,2
"ABI3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,1,1,1,2,1.5,2,1,1.5,2,1,3
"ABI3BP",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.5,2,0.5,1,1,2.5,2
"ABITRAM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,0.5,1,1,1,1.5,1.5,2,0.5,1,0.5,1,2
"ABL1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,0.5,1,1,1,1.5,1.5,2,0.5,1,0.5,1,2
