"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50"
"ABCC6P2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,2,1,1,3,1.5,1,1.5,1.5,2,1.5,1,2,1.5,1.5,4,2,2,1,2.5,1,4,1
"ABCC8",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,2,1.5,1,1.5,1,1.5,1,2,3,2.5,1.5,1.5,2,1,2,4.5,2,2.5,1,1.5,1,1.5,1
"ABCC9",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.5,2,2,2.5,1,1,2,1,1,1.5,2.5,1.5,2,2,2,1,1.5,2,2,1.5,1,2.5,1,2,1
"ABCD1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,2,1.5,1,0.5,1,1,1,1,3,1.5,2.5,2,1,1,1,3,1.5,1,1,2,1,1.5,1
"ABCD2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,1,1,1.5,2.5,1.5,2,2,2,1,1.5,2.5,2,1.5,1,2.5,1,2,1
"ABCD3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,2,1,1,1,1,1,1,1.5,3.5,3.5,2.5,1.5,1,1,1.5,1.5,1.5,2,0.5,1.5,0.5,1,1
"ABCD4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,2,2,2,1,1,2,1,1,2,1,1.5,1,1,1,1,1.5,1.5,1,1,1,1.5,0.5,2,1
"ABCE1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1.5,1,1.5,1.5,1,1,1,1,1.5,2,1.5,1,1.5,1,2,1
"ABCF1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,1,1,2,1,1,2,2.5,2.5,2,1.5,2,1,2,3,1.5,2.5,1,1.5,1,1.5,1
"ABCF2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.5,2,1,1,1,2,1,1,1,1,1.5,2,2,2,1,1.5,2,2,2.5,1,2,0.5,1,1
"ABCF3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.5,2,2.5,1,1.5,1.5,1,1,1.5,3,2,2,1.5,2,1,2,3.5,2,1.5,1,2,1,2,1
"ABCG1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,2,2,1,1,1.5,1,1,1.5,3,2,2,1.5,2,1,1.5,2.5,1.5,1.5,1,2,1.5,1.5,1
"ABCG2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1.5,1,2.5,1.5,1,1,1,1.5,1.5,2,1,1,1.5,1,2,1
"ABCG8",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,3,2,1.5,2,2,1,2,2.5,2,2,0.5,2,1,1.5,1
"ABHD1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,3,3,2,1.5,2,2,1,2,2.5,1,1.5,0.5,2,1,1.5,1
"ABHD10",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.5,2,3,1,1,1.5,1,1,4,2.5,2,2.5,1.5,2,1,2,3.5,2,1.5,1,2,1,2,1
"ABHD11",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.5,2,1,1,1,2,1,1,1.5,3,1.5,2,2,3,1,2.5,2,2,1.5,1,2,0.5,2,1
"ABHD11-AS1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.5,2,1,1,1,2,1,1,1.5,3,1.5,2,2,3,1,2.5,2,2,1.5,1,2,0.5,2,1
"ABHD12",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,2,1,1,3,3,4,1.5,2,3,1,3,4.5,0.5,2,1,2,1,2.5,1
"ABHD12B",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,2,2,2,1,1,2,1,1,2,3,2.5,1,1,1,1,1.5,1.5,1,2,1,1.5,1,2,1
"ABHD13",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,2,1,1,0.5,1,1,0.5,2.5,3,1.5,1,2,1,1,1.5,1.5,2,1,1,2,1,1.5,1
"ABHD14A",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,2,1.5,1,0.5,1.5,1,1,1.5,1.5,2,2.5,1,1,1,1,3.5,1,1.5,1,2,0.5,2,1
"ABHD14B",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,2,1.5,1,0.5,1.5,1,1,1.5,1.5,2,2.5,1,1,1,1,3.5,1,1.5,1,2,0.5,2,1
"ABHD15",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,7.5,1,0.5,1,1,1,2,1.5,7.5,3,1,2,2,2,2.5,1,1.5,1,1.5,1,1.5,1
"ABHD16A",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,1,1,2,1,1,2,1.5,2.5,2,1.5,2,1,2,3,1.5,2,1,1.5,1,1.5,1
"ABHD17A",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,2,1.5,1,1,2,1,1,1.5,3,1.5,2,1,1,0.5,1,2,1,1.5,1,2,1,1,1
"ABHD17B",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1.5,1,1,2,1,1,2,4.5,2.5,1.5,1.5,1,1,1.5,2.5,1,2,0.5,1.5,1,1.5,1
"ABHD17C",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,2,1.5,1,1,1,1,1,5,3.5,2,3,1,2,1,1,2,1,1.5,1,1.5,1.5,1,1
