,Unnamed: 0,status,gene,N,n_aneup,cna,mean_b_scaling,sd_b_scaling,mean_b_deviation,sd_b_deviation,z_comp,p_value,mean_phi,Rhat_b_deviation,ess_b_deviation,covar_levels,reason,label_nb,adj_p,aneup_frac,comp_score,signed_comp,shrunk_comp
49,49,ok,PDK4,45.0,29.0,all,0.5990136865767499,0.2049734482412631,-0.31425996975056,0.2006968436291387,-1.565844106304287,0.117385117695008,1.0618962752425,1.00023,2091.9,['ALL'],,DCG,0.6128385706211888,0.6444444444444445,-0.5246290306762377,-0.5246290306762377,-0.4630453901640895
50,50,ok,ABCB5,45.0,34.0,all,0.176643526567,0.1187089550343493,-0.2603107757365223,0.1546394931311618,-1.6833395561878384,0.0923093770393106,0.4985220906175,1.00265,1063.84,['ALL'],,DCG,0.5977046336654356,0.7555555555555555,-1.4736502423585147,-1.4736502423585147,-1.3376185065125712
51,51,ok,SLC25A13,45.0,29.0,all,0.5102593651925,0.1089671962424479,-0.12816233697937,0.1473972817306217,-0.8695027172454588,0.3845722224776291,6.42340242955,1.00519,1655.71,['ALL'],,DSG,0.8296060620849433,0.6444444444444445,-0.2511709646544548,-0.2511709646544548,-0.1545775885554411
52,52,ok,ST7,45.0,30.0,all,0.782321036855,0.1229518547186902,-0.424183455697475,0.164519710156198,-2.578313901080591,0.0099283762270712,4.694970079725,1.00036,1554.54,['ALL'],,DCG,0.5115952384957322,0.6666666666666666,-0.5422114908257231,-0.5422114908257231,-0.5368282111501641
53,53,ok,CDC27,45.0,32.0,all,0.485772427935,0.1060438076032614,-0.1795290530509525,0.1507263603658201,-1.191092603942846,0.2336172330442636,8.089891610950001,1.00095,1575.1,['ALL'],,DSG,0.7188805520919118,0.7111111111111111,-0.369574398889051,-0.369574398889051,-0.2832354504165939
54,54,ok,SLC4A1,45.0,31.0,all,0.3208310612069999,0.1956769963625799,-0.1240407165121,0.1927970504354401,-0.6433745549112339,0.519981089997712,0.6648090797674999,1.0016,1957.59,['ALL'],,DSG,0.9064244379552051,0.6888888888888889,-0.3866231531493425,-0.3866231531493425,-0.18558642455639504
55,55,ok,CALCR,45.0,29.0,all,0.8464866908374999,0.2860356589766917,-0.0257967882778825,0.1917773834286506,-0.134514236333191,0.8929959544297039,0.6068090818175002,1.00037,1982.41,['ALL'],,DSG,0.9940897320390846,0.6444444444444445,-0.030475125666015592,-0.030475125666015592,-0.0032609617355268323
56,56,ok,PRSS22,45.0,23.0,all,0.38954668908725,0.1556728742202016,-0.0412688759285455,0.1760516785171743,-0.2344134192649552,0.8146640417740685,1.56602762202,1.00006,2331.3,['ALL'],,DSG,0.9868339267709737,0.5111111111111111,-0.10594076932149761,-0.10594076932149761,-0.01963463399739213
57,57,ok,UPF1,45.0,22.0,all,0.9020647310125,0.1070855167465256,-0.3926297430503,0.1490790339915618,-2.633701953505573,0.0084459591066783,9.20375351305,1.00063,1801.21,['ALL'],,DCG,0.5115952384957322,0.4888888888888889,-0.4352567277623221,-0.4352567277623221,-0.4315805672387349
58,58,ok,SKAP2,45.0,34.0,all,0.35696540681625,0.1262466847387211,-0.0405340796829037,0.1483821436378533,-0.2731735685247455,0.7847197967907429,3.2601635292749997,1.00111,1853.46,['ALL'],,DSG,0.9815763697223697,0.7555555555555555,-0.11355184258448005,-0.11355184258448005,-0.02444546374637244
59,59,ok,MCUB,45.0,22.0,all,0.25161479002075,0.1014334958323413,0.1126008336381162,0.1673974283505026,0.6726556957753774,0.5011663596765747,3.6194408555,1.00123,1813.39,['ALL'],,OTHER,0.8980638949163539,0.4888888888888889,0.4475127778809438,0.4475127778809438,0.2232344280815996
60,60,ok,POLR2J,45.0,30.0,all,0.6980162964400002,0.1105593954515346,-0.16384294075781,0.1431147390952566,-1.1448362467317696,0.2522769972899232,7.412820017225,1.00164,2012.64,['ALL'],,DSG,0.7367079910200316,0.6666666666666666,-0.2347265265774401,-0.2347265265774401,-0.17551042326819014
61,61,ok,MEOX1,45.0,31.0,all,0.6591615690625,0.1724997662767621,-0.11064188714714,0.182027881728618,-0.6078293396398138,0.543300667979804,1.1331268960324998,1.00044,2289.67,['ALL'],,DSG,0.9158214735757383,0.6888888888888889,-0.16785245429963655,-0.16785245429963655,-0.07665810375659449
62,62,ok,THSD7A,45.0,34.0,all,0.30071979601875,0.134318697237881,-0.0423235131878305,0.1560572639663166,-0.2712050186716435,0.7862333532439907,2.0797795127750005,1.0015,1844.45,['ALL'],,DSG,0.9815763697223697,0.7555555555555555,-0.14074069531887956,-0.14074069531887956,-0.030085666500426062
63,63,ok,LIG3,45.0,32.0,all,0.7473552458375,0.098509373138943,-0.0605727460079342,0.1480142102161148,-0.4092360180788875,0.6823664643898069,9.535910391075,1.00224,1641.92,['ALL'],,DSG,0.9614654497751051,0.7111111111111111,-0.08104946923876244,-0.08104946923876244,-0.025744029473637704
64,64,ok,RPAP3,45.0,26.0,all,0.7461371510675,0.0975815000479037,-0.1349742387486135,0.1467536975232543,-0.9197331380848226,0.3577122310729823,10.31518417805,1.00065,2010.89,['ALL'],,DSG,0.8129319246962312,0.5777777777777777,-0.18089735721576866,-0.18089735721576866,-0.1161881599709098
65,65,ok,ACSM3,45.0,22.0,all,0.8413333011125,0.2056998318348031,-0.1117209041863907,0.1893197300029863,-0.5901175972764616,0.5551118119235259,1.3282929315599998,1.00086,2756.48,['ALL'],,DSG,0.9198936979345119,0.4888888888888889,-0.13279030324683627,-0.13279030324683627,-0.059076837405610524
66,66,ok,REXO5,45.0,22.0,all,0.789066098435,0.1501452257905431,-0.106458554285719,0.1872605056798143,-0.5685051094956787,0.5696920372376508,3.835513574575,1.00081,2075.73,['ALL'],,DSG,0.9273635221042448,0.4888888888888889,-0.13491715649280125,-0.13491715649280125,-0.05805592675210636
67,67,ok,CIAPIN1,45.0,25.0,all,0.7237740805849999,0.0997962754379427,-0.177962428708929,0.1541406876479371,-1.154545444324224,0.2482766185853202,9.114989160325,1.00016,2110.13,['ALL'],,DSG,0.7327367564876011,0.5555555555555556,-0.24588118514148577,-0.24588118514148577,-0.1848346359208066
68,68,ok,FAM214B,45.0,22.0,all,0.3937621297224999,0.0900784606762352,-0.1717274470244175,0.125522035902343,-1.3681059727076337,0.1712789074378571,8.0212893181,1.00195,1960.3,['ALL'],,DCG,0.6639579382063564,0.4888888888888889,-0.4361197638417914,-0.4361197638417914,-0.3614216471789131
69,69,ok,COPZ2,45.0,32.0,all,0.21478374044925,0.1146373088995713,-0.14903939443157,0.1574506094950003,-0.94657870750448,0.3438534980988321,2.278503329365,1.00344,1625.63,['ALL'],,DCG,0.8024319224732733,0.7111111111111111,-0.693904455336486,-0.693904455336486,-0.45530298102267047
70,70,ok,PRKAR2B,45.0,30.0,all,0.5764920340485,0.1813712439026344,-0.0092662057808594,0.1871528118736565,-0.0495114430186328,0.9605117181748216,1.7650310485625,1.0012,1911.2,['ALL'],,DSG,0.9965842727892632,0.6666666666666666,-0.01607343247362172,-0.01607343247362172,-0.0006347122314163486
71,71,ok,CREBBP,45.0,23.0,all,0.6775702861224999,0.121589551492426,-0.2073332598628039,0.1649262548798207,-1.2571270718169434,0.2087076256778406,5.556424219775,1.00141,1996.02,['ALL'],,DSG,0.695466440480913,0.5111111111111111,-0.305995206857875,-0.305995206857875,-0.24213167376576822
72,72,ok,TSPOAP1,45.0,31.0,all,0.7359497412449999,0.1578159267003994,-0.1439653100871707,0.1865104941695188,-0.7718885241723777,0.4401804547427697,1.7442724869125,1.00118,2179.37,['ALL'],,DSG,0.8646852670962772,0.6888888888888889,-0.19561839894613703,-0.19561839894613703,-0.1095110031419739
73,73,ok,MPO,45.0,31.0,all,0.38945902208825,0.2108030906941431,-0.0869007546228467,0.183105421797366,-0.4745941096108866,0.6350763055279653,0.8343163433049999,1.00124,2113.44,['ALL'],,DSG,0.9509772457052602,0.6888888888888889,-0.22313195919019,-0.22313195919019,-0.0814261389024674
74,74,ok,PON1,45.0,29.0,all,0.78405918262125,0.2528747456674385,0.107228262169326,0.1906450589301805,0.5624497313019581,0.5738096438959284,0.6763568861575,1.0028,2177.4,['ALL'],,DSG,0.928922880279818,0.6444444444444445,0.13676041878732006,0.13676041878732006,0.058285971583909905
75,75,ok,GCFC2,45.0,24.0,all,0.8802711086849999,0.109747477354239,-0.2831684163195175,0.1462930275737482,-1.9356248278939243,0.0529136672753312,8.680118839925,1.0022,1694.9,['ALL'],,DCG,0.5642901297785358,0.5333333333333333,-0.32168318774261595,-0.32168318774261595,-0.3046617505783353
76,76,ok,WDR54,45.0,24.0,all,0.5772646202,0.1555644924468981,-0.1249729177625737,0.1845214523340296,-0.6772812384781242,0.498227532296652,2.3331615626499995,1.00089,1876.15,['ALL'],,DSG,0.897739422803857,0.5333333333333333,-0.216491559311699,-0.216491559311699,-0.10862950395277692
77,77,ok,CROT,45.0,29.0,all,0.6158700166425,0.1471792401265473,-0.0662479805503725,0.1657428799408241,-0.3997033270691645,0.6893750413056781,3.011524551625,1.00123,1804.03,['ALL'],,DSG,0.9633102231651722,0.6444444444444445,-0.10756812112973524,-0.10756812112973524,-0.03341334318274983
78,78,ok,ABCB4,45.0,29.0,all,0.36946661405525,0.1631781905277091,-0.0008891221942522,0.1624740853175143,-0.0054723939052476,0.9956336831854662,1.319481984385,1.00284,2230.74,['ALL'],,DSG,0.9998617250696904,0.6444444444444445,-0.0024065021315274803,-0.0024065021315274803,-1.0507550721099893e-05
79,79,ok,KMT2E,45.0,31.0,all,0.6334554517550001,0.1042167195219243,-0.4185360745651499,0.1434774353921102,-2.91708639355959,0.0035331789483394,6.8393965309,1.00098,1565.03,['ALL'],,DCG,0.5080052089500159,0.6888888888888889,-0.660719034630751,-0.660719034630751,-0.6583845960468265
80,80,ok,RHBDD2,45.0,31.0,all,0.7000955135325,0.1156994611688126,-0.2926591954309925,0.1413391336264568,-2.0706168767417052,0.0383946137363488,6.263793839800001,1.00408,1821.96,['ALL'],,DCG,0.5531800747552789,0.6888888888888889,-0.4180275259218707,-0.4180275259218707,-0.40197752053293895
81,81,ok,SOX8,45.0,24.0,all,0.7708896402925001,0.2654674509605277,-0.004221761210851,0.2024009525121814,-0.0208584058446904,0.9833586067260548,0.9521887244275,1.00339,1853.98,['ALL'],,DSG,0.9998617250696904,0.5333333333333333,-0.005476479369017242,-0.005476479369017242,-9.113624693646321e-05
82,82,ok,ZNF195,45.0,23.0,all,0.73672139885,0.1249951677446271,-0.0450599448196607,0.1629457324945623,-0.2765334453982365,0.7821383750334008,4.865620579675,0.999803,2371.24,['ALL'],,DSG,0.9813183865621463,0.5111111111111111,-0.06116280169138282,-0.06116280169138282,-0.013325027363994525
83,83,ok,ITGAL,45.0,24.0,all,0.104936102487175,0.0565391327812841,-0.10201165043724,0.1305481658102734,-0.7814100627464522,0.4345613545865212,2.8348818879250004,1.00131,2524.44,['ALL'],,DCG,0.8614611613260285,0.5333333333333333,-0.9721311161685997,-0.9721311161685997,-0.5496805014906662
84,84,ok,PDK2,45.0,31.0,all,0.7306645028350001,0.1189982742878926,-0.3792900985388225,0.171713536484934,-2.208853805606066,0.0271848111550609,5.56783285635,1.00135,1483.06,['ALL'],,DCG,0.536102923569672,0.6888888888888889,-0.5191029495304146,-0.5191029495304146,-0.5049912338773952
85,85,ok,ITGA3,45.0,31.0,all,0.33516488420425,0.1430777196887665,-0.1272048349332885,0.1717306823296599,-0.7407228178893618,0.4588615212411333,1.5552457108449995,1.00106,1986.58,['ALL'],,DSG,0.8757413547247557,0.6888888888888889,-0.3795291241064791,-0.3795291241064791,-0.20537781286366522
