,status,gene,N,n_aneup,cna,mean_b_scaling,sd_b_scaling,mean_b_deviation,sd_b_deviation,z_comp,p_value,mean_phi,Rhat_b_deviation,ess_b_deviation,covar_levels,reason
584,ok,MYNN,45.0,29.0,all,0.7855110364350001,0.10571183511538178,-0.32295338374502297,0.14058765248285468,-2.2971674826450967,0.021609217342815068,8.94253077885,1.00195,1852.71,['ALL'],
585,ok,MECOM,45.0,28.0,all,0.7804454932850001,0.19418798184741165,-0.37680288484143,0.16518786606280766,-2.281056676996857,0.022545093286622908,1.531225794515,1.00082,2323.07,['ALL'],
586,ok,PILRA,45.0,30.0,all,0.08881232476875,0.04593940936542967,-0.18393430229265825,0.07833577171872935,-2.3480243860121606,0.018873285604809054,4.263414348824999,1.00684,952.781,['ALL'],
587,ok,IGSF9,45.0,33.0,all,0.42447350058949995,0.13972907836034618,0.133603192533717,0.16867549248020325,0.7920723429895867,0.4283184953735937,2.2712507625625005,1.00112,1756.48,['ALL'],
588,ok,ABCB1,45.0,29.0,all,0.26498592741575,0.09981308193810294,-0.3689993539880125,0.14517526445369483,-2.5417508649051483,0.011029876188048071,2.154612882925,1.00025,1110.02,['ALL'],
589,ok,AKR1B1,45.0,29.0,all,0.44890100070250005,0.18550397454683637,0.04216270151830675,0.18656111738553424,0.22599940496269777,0.8212018831278809,1.2418220060575,1.00119,2246.89,['ALL'],
590,ok,CPNE3,45.0,30.0,all,0.68657552861,0.1157546960696062,-0.325994160076035,0.143867611762111,-2.265931546949394,0.023455574737062834,6.3771265161,1.00284,1461.88,['ALL'],
591,ok,CTTN,45.0,25.0,all,0.72331661906,0.12088825752716152,-0.27768385515036753,0.1707209676104421,-1.62653632437228,0.1038356125682296,5.1866373567499995,1.00157,1565.13,['ALL'],
592,ok,WNT11,45.0,25.0,all,0.73058148096,0.2246292496044636,-0.20019582393774749,0.19019276098140683,-1.0525943411553846,0.29252695182441446,1.35055518607,1.00306,2252.86,['ALL'],
593,ok,MTIF2,45.0,24.0,all,0.7155517829375001,0.10722452745535861,-0.24498845511618778,0.1583034265592367,-1.5475878219509909,0.12172156528690681,8.266716308249999,1.00111,1646.06,['ALL'],
594,ok,POMGNT1,45.0,26.0,all,0.8695254259975,0.12413987000264476,-0.3010012657787935,0.1653767471549526,-1.8200942451526463,0.06874465385372086,5.9711824878,1.00195,1989.68,['ALL'],
595,ok,RAD54L,45.0,26.0,all,0.5458359806545,0.1857577864553317,0.07853707066117675,0.18704444597434097,0.41988453734654374,0.6745698041363324,1.5639287946175,1.0003,2103.69,['ALL'],
596,ok,MAST2,45.0,25.0,all,0.6347456232325,0.11948268318933218,-0.06782569768994501,0.15507895125774895,-0.43736237019823093,0.6618485695877068,6.03694646145,1.00161,1680.0,['ALL'],
