,class,beta1,cn_ratio_log2,truth_log2FC_aware,truth_log2FC_naive,empirical_log2FC_naive,empirical_log2FC_aware,DE_truth
LINC00923,DIG,-1.0578185727191176,0.37851162325372983,-1.5261096090221122,-1.1475979857683825,-1.2757165984374617,-1.5181055452151424,True
TNFSF8,NEUTRAL,0.020572784772119254,0.13750352374993502,0.029680254568012432,0.16718377831794745,0.03768431837497834,0.03768431837497834,False
RASGRF2,NEUTRAL,0.01409876109111737,0.13750352374993502,0.0203402127088333,0.1578437364587683,0.028344276515800106,0.028344276515800418,False
MUSTN1,NEUTRAL,0.022054006136691284,0.13750352374993502,0.03181720528513928,0.1693207290350743,0.03982126909210636,0.03982126909210667,False
MBOAT7,DIG,0.5916435236568455,0.5849625007211562,0.8535611775538031,1.4385236782749593,1.3105498104196067,0.8615652413607681,True
SND1,DIG,1.3380031702855282,0.53605290024021,1.9303305384646428,2.466383438704853,2.3349520778286896,1.9383346022716084,True
CLCA4,NEUTRAL,0.060275957823044075,0.13750352374993502,0.086959825436138,0.22446334918607302,0.09496388924310524,0.09496388924310493,False
ADAM21P1,NEUTRAL,0.010781998766987575,0.13750352374993502,0.015555136152003893,0.1530586599019389,0.023559199958970756,0.023559199958970756,False
DBR1,DIG,1.4315631501086394,0.6780719051126378,2.065309057381117,2.7433809624937546,2.596502689201183,2.0733131211880806,True
ZNF606,DIG,0.5773706473056628,0.37851162325372983,0.8329697696227305,1.2114813928764603,1.0714391001551287,0.8409738334296973,True
NDC1,NEUTRAL,0.014750457514560118,0.13750352374993502,0.021280411907099228,0.15878393565703425,0.029284475714066595,0.029284475714066595,False
RNU4-78P,NEUTRAL,-0.045316342526794756,0.13750352374993502,-0.06537766263463243,0.07212586111530259,-0.0573735988276661,-0.05737359882766627,False
NFATC3,NEUTRAL,-0.01797482922868307,0.13750352374993502,-0.025932196989047057,0.11157132676088796,-0.017928133182080013,-0.017928133182080176,False
IL10RB-DT,DIG,-1.2327054780443045,0.632268215499513,-1.7784180800511773,-1.1461498645516643,-1.2797364484694957,-1.7704140162442115,True
HMCN1,DCG,-0.8780645237812446,0.8875252707415875,-1.2667793340397309,-0.3792540632981434,-0.5034727674464664,-1.258775270232766,True
LSINCT5,DSG,0.055088130803648945,0.8875252707415875,0.07947537312226688,0.9670006438638543,0.8433041192237533,0.08747943692923309,False
PVALB,NEUTRAL,0.0618982365185539,0.13750352374993502,0.08930027886508984,0.22680380261502486,0.09730434267205529,0.09730434267205529,False
TMEM86A,DIG,-1.4811614339090198,0.5849625007211562,-2.136864255456529,-1.5519017547353728,-1.660662728806894,-2.1288601916495633,True
PLA2G4E-AS1,NEUTRAL,-0.0054776897435757305,0.13750352374993502,-0.007902635828585044,0.12960088792134997,0.00010142797838099275,0.00010142797838131306,False
RNU6-914P,DCG,0.8069257151596165,-0.7369655941662062,1.164147727626559,0.42718213346035283,0.29768267351738353,1.1721517914335249,True
RAD9B,NEUTRAL,0.034512997053959896,0.13750352374993502,0.04979172969596334,0.18729525344589837,0.05779579350293066,0.05779579350293097,False
ST7-AS2,DIG,-1.2293440763033627,0.4329594072761063,-1.7735686024290849,-1.3406091951529786,-1.4679141035989982,-1.7655645386221195,True
SLC39A7,DIG,1.0476898215307853,0.5849625007211562,1.511496909912307,2.096459410633463,1.9524317662582413,1.5195009737192708,True
MTMR3,NEUTRAL,-0.0171030592704557,0.13750352374993502,-0.02467449879351645,0.11282902495641857,-0.016670434986550093,-0.016670434986550253,False
DCTN6,NEUTRAL,0.0885239748161968,0.13750352374993502,0.1277130994671066,0.26521662321704165,0.13571716327407246,0.13571716327407188,False
LARP4,DIG,1.7036929388841262,0.4854268271702419,2.4579093541256727,2.9433361812959147,2.796655175577779,2.4659134179326383,True
STK11,NEUTRAL,-0.00330422992061053,0.13750352374993502,-0.004766996120421745,0.13273652762951327,0.0032370676865447275,0.0032370676865447275,False
VPS54,DIG,0.6881242326259149,0.53605290024021,0.992753417924931,1.528806318165141,1.4232917806557632,1.0007574817318963,True
STYK1,DIG,-0.8613738224052562,0.37851162325372983,-1.2426997419356338,-0.864188118681904,-0.9720025335390848,-1.2346956781286669,True
ITPKC,DIG,-0.9815362636535901,0.32192809488736235,-1.4160575000257167,-1.0941294051383543,-1.213481808533984,-1.408053436218751,True
HNRNPA0,NEUTRAL,-0.020303341209606494,0.13750352374993502,-0.02929152967657582,0.1082119940733592,-0.021287465869609418,-0.021287465869609744,False
SMC3,NEUTRAL,-0.030708170741277335,0.13750352374993502,-0.044302525643212375,0.09320099810672264,-0.0362984618362466,-0.0362984618362466,False
LINC01624,NEUTRAL,0.003605255716940251,0.13750352374993502,0.005201284543966285,0.1427048082939013,0.013205348350932832,0.013205348350932514,False
EXOSC5,DIG,-0.9165087808031211,0.32192809488736235,-1.322242672995853,-1.0003145781084906,-1.1345636725922805,-1.3142386091888885,True
CXCR5,NEUTRAL,-0.0049210356639533305,0.13750352374993502,-0.007099553748423197,0.13040397000151183,0.0009045100585431978,0.0009045100585431978,False
RBX1,NEUTRAL,-0.01928329934463146,0.13750352374993502,-0.027819920336477205,0.10968360341345781,-0.019815856529509672,-0.019815856529509183,False
VDAC2P2,DIG,1.2147548754988624,0.4854268271702419,1.7525208347778989,2.237947661948141,2.110248155777446,1.7605248985848583,True
NIBAN3,DIG,-1.0411189734946755,0.53605290024021,-1.5020171800361766,-0.9659642797959666,-1.0861882930407278,-1.4940131162292116,True
TAGLN3,DIG,-1.5720270503020568,0.4854268271702419,-2.2679556296140824,-1.7825288024438404,-1.9278156259021855,-2.2599515658071105,True
SCEL,NEUTRAL,-0.008900827820634234,0.13750352374993502,-0.01284118015663553,0.12466234359329949,-0.004837116349668696,-0.004837116349668696,False
CHCHD6,DIG,0.7524929604975747,0.4854268271702419,1.0856178624137058,1.5710446895839478,1.4386333796422215,1.0936219262206717,True
CFAP36,DIG,-0.5773757567582308,0.5849625007211562,-0.8329771410046121,-0.24801464028345588,-0.3814327093595297,-0.8249730771976471,True
DUSP14,DIG,0.9694459115787059,0.4329594072761063,1.3986148090446795,1.8315742163207858,1.6866590113146118,1.4066188728516458,True
ZP2,DSG,-0.11681480362747648,0.8875252707415875,-0.16852813789577842,0.7189971328458091,0.583111225187764,-0.16052407408881425,False
EPCAM,DIG,1.4295233310552424,0.4854268271702419,2.06236622054847,2.547793047718712,2.4234515369564664,2.070370284355434,True
POGK,DCG,0.8980675883508539,-0.7369655941662062,1.2956376560968879,0.5586720619306816,0.42917260198771207,1.303641719903853,True
LINC01050,NEUTRAL,0.02852726105258221,0.13750352374993502,0.04115613805070523,0.17865966180064025,0.0491602018576724,0.04916020185767209,False
ZNF311,DIG,-0.7349633310308827,0.53605290024021,-1.0603279529134881,-0.5242750526732781,-0.6598160604708239,-1.0523238891065236,True
IPO7P2,NEUTRAL,0.005147599717706332,0.13750352374993502,0.007426416585216353,0.14492994033515139,0.015430480392182016,0.015430480392181698,False
SLC6A11,DIG,0.778895569746737,0.4329594072761063,1.1237087758440012,1.5566681831201075,1.4254894456054958,1.1317128396509668,True
LY96,DCG,-0.8610443632728626,1.0356239097307214,-1.242224432879154,-0.2066005231484327,-0.34233183787146565,-1.2342203690721876,True
GATA2,DIG,-1.412410597714936,0.53605290024021,-2.0376777650223548,-1.5016248647821446,-1.628985062422596,-2.0296737012153905,True
LINC01291,DIG,1.4612880349759714,0.5849625007211562,2.108193001370212,2.693155502091368,2.5792287453090643,2.1161970651771775,True
ASAP1-IT2,DCG,0.8300280749719814,-0.7369655941662062,1.1974773875606903,0.4605117933944841,0.3310123334515154,1.2054814513676564,True
ADGRB2,NEUTRAL,0.08406806870252385,0.13750352374993502,0.12128458581424384,0.25878810956417886,0.12928864962120915,0.12928864962120915,False
RPS2P35,NEUTRAL,-0.016247382195977766,0.13750352374993502,-0.02344001772156476,0.11406350602837026,-0.015435953914598252,-0.01543595391459809,False
DIO2,NEUTRAL,-0.0019379221486339744,0.13750352374993502,-0.0027958306734631195,0.1347076930764719,0.005208233133502458,0.005208233133502139,False
GSTA3,DIG,-1.0979821772426868,0.5849625007211562,-1.5840534420924912,-0.999090941371335,-1.1302018678356256,-1.576049378285522,True
TFIP11,NEUTRAL,-0.007565059902059249,0.13750352374993502,-0.010914074404728826,0.1265894493452062,-0.0029100105977634674,-0.0029100105977631465,False
KAT7,DSG,-0.04115682145405942,0.8875252707415875,-0.059376742210524025,0.8281485285310635,0.6951426403320439,-0.05137267840355909,False
C4orf36,NEUTRAL,-0.026659005340627227,0.13750352374993502,-0.03846081479995529,0.09904270894997973,-0.030456750992990132,-0.030456750992990132,False
RHO,DIG,0.6695111933921873,0.4854268271702419,0.9659004785265605,1.4513273056968023,1.3159255356549338,0.9739045423335246,True
LOXL1-AS1,NEUTRAL,0.017905415463064473,0.13750352374993502,0.025832054093619678,0.1633355778435547,0.03383611790058478,0.03383611790058509,False
RN7SL834P,NEUTRAL,-0.03787023995932433,0.13750352374993502,-0.05463520738659227,0.08286831636334274,-0.0466311435796256,-0.04663114357962543,False
BOLA2P3,DIG,1.4103485528542756,0.53605290024021,2.0347028631277895,2.5707557633679996,2.435214755570449,2.042706926934749,True
SELENOT,DSG,-0.15661473778514554,0.8479969065549501,-0.22594730553275483,0.6220496010221952,0.48981922230642916,-0.21794324172579085,False
SNPH,DSG,-0.07218030972471441,0.8073549220576041,-0.1041341748896749,0.7032207471679291,0.578708045867259,-0.09613011108271058,False
ICA1L,NEUTRAL,0.07664081469543682,0.13750352374993502,0.1105693232907967,0.24807284704073174,0.11857338709776427,0.11857338709776427,False
