,padjScreen,p_naive,p_aware
AC009120.1,1.0,0.0,1.0
AC009120.2,1.0,0.0,1.0
AC009120.3,1.0,0.0,1.0
AC009126.1,1.0,0.0,1.0
AC009133.1,1.0,0.0,1.0
AC009159.3,1.0,1.0,1.0
AC009163.7,1.0,1.0,1.0
AC009237.14,1.0,1.0,1.0
AC009237.15,1.0,1.0,0.0
AC009237.3,1.0,1.0,1.0
AC009237.8,1.0,1.0,0.0
AC009244.1,1.0,1.0,1.0
AC009245.1,0.0,0.0,0.0
AC009283.1,0.0,0.0,0.0
AC009299.2,1.0,0.0,1.0
AC009303.4,1.0,1.0,0.0
AC009309.1,0.0,0.0,0.0
AC009318.1,1.0,1.0,1.0
AC009318.2,1.0,0.0,1.0
AC009318.3,1.0,1.0,1.0
AC009403.1,1.0,1.0,1.0
AC009404.1,0.0,0.0,0.0
AC009506.1,1.0,1.0,1.0
AC009509.4,1.0,1.0,1.0
AC009533.1,1.0,1.0,1.0
AC009549.1,0.0,0.0,0.0
AC009554.2,1.0,1.0,1.0
AC009652.1,1.0,1.0,1.0
AC009779.2,1.0,1.0,1.0
AC009779.3,0.0,0.0,0.0
AC009802.1,1.0,0.0,1.0
AC009806.1,1.0,1.0,1.0
AC009812.1,1.0,1.0,1.0
AC009812.3,1.0,0.0,1.0
AC009812.4,1.0,0.0,1.0
AC009831.1,1.0,1.0,1.0
AC009902.3,1.0,1.0,1.0
AC009950.1,1.0,1.0,0.0
AC009951.6,1.0,1.0,1.0
AC009961.1,1.0,1.0,0.0
AC009961.3,1.0,1.0,1.0
AC009962.1,1.0,1.0,1.0
AC009974.1,1.0,1.0,1.0
AC010168.2,0.0,0.0,0.0
AC010186.2,1.0,1.0,0.0
AC010186.3,1.0,1.0,1.0
AC010197.1,0.0,0.0,0.0
AC010198.2,1.0,1.0,1.0
AC010201.2,0.0,0.0,0.0
AC010203.1,0.0,0.0,0.0
AC010207.1,1.0,1.0,1.0
AC010210.1,1.0,0.0,1.0
AC010226.1,1.0,1.0,1.0
AC010245.2,1.0,1.0,1.0
AC010247.2,0.0,0.0,0.0
AC010255.1,1.0,1.0,1.0
AC010255.2,1.0,1.0,1.0
AC010273.3,1.0,1.0,1.0
AC010300.1,1.0,1.0,1.0
AC010326.3,1.0,1.0,1.0
AC010326.4,1.0,1.0,1.0
AC010327.6,1.0,1.0,0.0
AC010329.1,1.0,1.0,1.0
AC010343.1,1.0,1.0,1.0
AC010422.8,0.0,0.0,0.0
AC010503.4,1.0,1.0,1.0
AC010504.1,1.0,0.0,1.0
AC010536.1,0.0,0.0,0.0
AC010538.1,1.0,1.0,1.0
AC010542.5,0.0,0.0,0.0
AC010615.1,0.0,0.0,0.0
AC010615.2,1.0,1.0,1.0
AC010618.3,0.0,0.0,0.0
AC010624.1,1.0,1.0,1.0
AC010624.3,1.0,1.0,1.0
AC010627.1,1.0,1.0,1.0
AC010642.2,1.0,0.0,1.0
AC010643.1,1.0,1.0,1.0
AC010654.1,1.0,0.0,1.0
AC010735.2,1.0,1.0,1.0
AC010754.1,1.0,1.0,1.0
AC010761.1,0.0,0.0,0.0
AC010761.3,1.0,0.0,1.0
AC010776.2,1.0,1.0,1.0
AC010834.3,1.0,1.0,0.0
AC010894.1,1.0,1.0,1.0
AC010896.1,1.0,0.0,1.0
AC010969.2,1.0,0.0,1.0
AC010976.1,1.0,0.0,1.0
AC010976.2,1.0,1.0,1.0
AC010980.1,1.0,1.0,1.0
AC010997.4,1.0,0.0,1.0
AC010998.1,1.0,1.0,1.0
AC010998.3,1.0,1.0,1.0
AC011008.2,1.0,1.0,1.0
AC011239.2,1.0,1.0,1.0
AC011346.1,1.0,1.0,1.0
AC011379.2,1.0,1.0,1.0
AC011416.3,1.0,1.0,1.0
AC011444.1,1.0,1.0,1.0
AC011447.3,1.0,1.0,1.0
AC011447.7,1.0,1.0,1.0
AC011450.1,1.0,1.0,1.0
AC011455.8,1.0,1.0,0.0
AC011462.5,1.0,1.0,1.0
AC011468.1,0.0,0.0,0.0
AC011472.1,1.0,1.0,1.0
AC011472.4,1.0,1.0,1.0
AC011476.3,0.0,0.0,0.0
AC011477.1,1.0,1.0,1.0
AC011477.2,1.0,1.0,0.0
AC011481.3,1.0,1.0,1.0
AC011484.1,1.0,0.0,1.0
AC011495.1,0.0,0.0,0.0
AC011498.4,1.0,1.0,1.0
AC011498.7,0.0,0.0,0.0
AC011503.2,1.0,1.0,1.0
AC011511.5,1.0,1.0,1.0
AC011767.1,1.0,0.0,1.0
AC011815.1,1.0,1.0,1.0
AC011815.3,0.0,0.0,0.0
AC011899.1,1.0,1.0,1.0
AC011899.2,1.0,1.0,1.0
AC011912.1,1.0,1.0,1.0
AC011944.1,1.0,1.0,1.0
AC011978.2,1.0,0.0,1.0
AC011979.1,0.0,0.0,0.0
AC012020.1,1.0,1.0,1.0
AC012063.1,0.0,0.0,0.0
AC012073.1,1.0,1.0,1.0
AC012076.1,1.0,1.0,1.0
AC012103.1,1.0,1.0,1.0
AC012178.1,1.0,1.0,1.0
AC012181.1,0.0,0.0,0.0
AC012181.2,0.0,0.0,0.0
AC012184.3,1.0,1.0,0.0
AC012236.1,1.0,1.0,1.0
AC012291.3,1.0,0.0,1.0
AC012306.2,1.0,1.0,1.0
AC012306.3,1.0,1.0,1.0
AC012313.1,0.0,0.0,0.0
AC012313.2,1.0,1.0,1.0
AC012313.3,1.0,0.0,1.0
AC012313.4,1.0,0.0,1.0
AC012313.5,1.0,1.0,1.0
AC012313.6,1.0,1.0,1.0
AC012313.8,0.0,0.0,0.0
AC012358.2,0.0,0.0,0.0
AC012360.3,1.0,1.0,0.0
AC012368.1,0.0,0.0,0.0
AC012443.2,1.0,1.0,1.0
AC012459.1,1.0,1.0,1.0
AC012467.2,1.0,1.0,1.0
AC012511.1,1.0,1.0,1.0
AC012513.3,1.0,1.0,1.0
AC012557.1,1.0,1.0,1.0
AC012615.1,1.0,1.0,0.0
AC012615.6,1.0,1.0,1.0
AC012618.3,1.0,1.0,1.0
AC012640.2,1.0,1.0,1.0
AC012645.1,0.0,0.0,0.0
AC012676.5,1.0,0.0,1.0
AC013403.2,1.0,1.0,1.0
AC013457.1,1.0,1.0,1.0
AC013470.2,1.0,0.0,1.0
AC013486.1,0.0,0.0,0.0
AC013553.3,1.0,1.0,1.0
AC013652.1,1.0,1.0,1.0
AC015660.1,0.0,0.0,0.0
AC015712.2,1.0,1.0,1.0
AC015726.1,1.0,1.0,1.0
AC015799.1,0.0,0.0,0.0
AC015802.3,1.0,1.0,1.0
AC015802.6,1.0,1.0,1.0
AC015802.7,0.0,0.0,0.0
AC015813.1,0.0,0.0,0.0
AC015813.5,1.0,1.0,0.0
AC015813.6,1.0,1.0,0.0
AC015813.8,1.0,1.0,1.0
AC015819.1,1.0,1.0,1.0
AC015849.3,0.0,0.0,0.0
AC015871.3,1.0,1.0,1.0
AC015911.3,0.0,0.0,0.0
AC015911.7,0.0,0.0,0.0
AC015912.3,0.0,0.0,0.0
AC015914.1,1.0,1.0,1.0
AC015922.2,0.0,0.0,0.0
AC015922.3,0.0,0.0,0.0
AC016065.1,1.0,1.0,1.0
AC016355.1,1.0,1.0,1.0
AC016394.2,0.0,0.0,0.0
AC016582.3,1.0,1.0,0.0
AC016583.2,0.0,0.0,0.0
AC016590.3,1.0,0.0,1.0
AC016590.4,0.0,0.0,0.0
AC016596.2,0.0,0.0,0.0
AC016705.2,0.0,0.0,0.0
AC016717.2,1.0,0.0,1.0
AC016722.2,1.0,1.0,1.0
AC016727.1,1.0,1.0,1.0
AC016739.1,1.0,1.0,0.0
AC016745.1,1.0,1.0,1.0
AC016747.1,1.0,1.0,0.0
AC016821.1,0.0,0.0,0.0
AC016831.1,1.0,0.0,1.0
AC016831.6,1.0,0.0,1.0
AC016866.1,0.0,0.0,0.0
AC016876.1,1.0,1.0,1.0
AC016924.1,1.0,1.0,1.0
AC016949.1,1.0,1.0,1.0
AC016957.2,1.0,1.0,1.0
AC017074.1,1.0,1.0,0.0
AC017104.1,1.0,1.0,1.0
AC017104.5,1.0,1.0,1.0
AC018413.1,0.0,0.0,0.0
AC018445.5,0.0,0.0,0.0
AC018475.1,0.0,0.0,0.0
AC018521.5,1.0,0.0,1.0
AC018521.6,1.0,1.0,1.0
AC018529.2,1.0,1.0,1.0
AC018553.1,0.0,0.0,0.0
AC018553.2,1.0,1.0,0.0
AC018628.1,1.0,0.0,1.0
AC018629.1,1.0,1.0,1.0
AC018638.1,1.0,0.0,1.0
AC018638.2,1.0,0.0,1.0
AC018638.4,1.0,0.0,1.0
AC018638.5,1.0,0.0,1.0
AC018638.7,1.0,1.0,1.0
AC018645.3,1.0,1.0,1.0
AC018647.1,1.0,1.0,1.0
AC018647.2,1.0,1.0,1.0
AC018653.3,0.0,0.0,0.0
AC018665.1,0.0,0.0,0.0
AC018690.1,1.0,1.0,1.0
AC018755.4,1.0,1.0,1.0
AC018797.3,1.0,1.0,1.0
AC018809.2,1.0,1.0,1.0
AC018816.1,1.0,1.0,1.0
AC018904.1,1.0,1.0,1.0
AC018926.2,0.0,0.0,0.0
AC018926.3,1.0,1.0,1.0
AC019069.1,0.0,0.0,0.0
AC019080.1,1.0,0.0,1.0
AC019080.5,0.0,0.0,0.0
AC019117.1,0.0,0.0,0.0
AC019117.2,1.0,0.0,1.0
AC019131.2,1.0,1.0,1.0
AC019193.2,1.0,1.0,1.0
AC019197.1,0.0,0.0,0.0
AC019205.1,1.0,1.0,0.0
AC020558.2,0.0,0.0,0.0
AC020604.1,0.0,0.0,0.0
AC020658.5,1.0,1.0,1.0
AC020661.1,0.0,0.0,0.0
AC020904.2,1.0,1.0,1.0
AC020907.4,0.0,0.0,0.0
AC020910.5,1.0,0.0,1.0
AC020910.6,1.0,0.0,1.0
AC020915.2,1.0,1.0,0.0
AC020916.1,1.0,1.0,1.0
AC020917.4,0.0,0.0,0.0
AC020951.1,1.0,1.0,1.0
AC020978.3,1.0,1.0,1.0
AC020978.4,1.0,1.0,1.0
AC020978.7,1.0,1.0,1.0
AC020978.9,1.0,1.0,1.0
AC021016.1,1.0,1.0,1.0
AC021078.1,0.0,0.0,0.0
AC021092.1,0.0,0.0,0.0
AC021106.1,1.0,1.0,1.0
AC021148.2,1.0,0.0,1.0
AC021205.3,1.0,1.0,1.0
AC021491.4,1.0,1.0,1.0
AC021733.4,1.0,1.0,1.0
AC021739.2,1.0,1.0,1.0
AC021851.1,1.0,1.0,0.0
AC022007.1,1.0,1.0,1.0
AC022034.1,1.0,0.0,1.0
AC022098.1,1.0,1.0,1.0
AC022107.1,0.0,0.0,0.0
AC022126.1,1.0,1.0,1.0
AC022144.1,1.0,1.0,1.0
AC022150.2,0.0,0.0,0.0
AC022150.4,1.0,1.0,1.0
AC022164.1,1.0,1.0,1.0
AC022167.2,1.0,0.0,1.0
AC022210.1,1.0,1.0,1.0
AC022211.2,1.0,1.0,0.0
AC022306.2,1.0,1.0,1.0
AC022364.1,1.0,0.0,1.0
AC022382.2,1.0,1.0,1.0
AC022387.2,0.0,0.0,0.0
AC022400.4,0.0,0.0,0.0
AC022400.6,0.0,0.0,0.0
AC022413.1,0.0,0.0,0.0
AC022415.1,1.0,1.0,0.0
AC022415.2,0.0,0.0,0.0
AC022417.1,1.0,1.0,1.0
AC022497.1,1.0,1.0,1.0
AC022509.1,1.0,1.0,1.0
AC022509.2,1.0,1.0,1.0
AC022509.3,0.0,0.0,0.0
AC022613.1,1.0,1.0,1.0
AC022613.2,1.0,1.0,1.0
AC022706.1,1.0,1.0,1.0
AC022730.4,1.0,1.0,1.0
AC022733.1,1.0,1.0,1.0
AC022762.2,1.0,1.0,1.0
AC022784.1,1.0,1.0,1.0
AC022893.1,1.0,1.0,1.0
AC022916.1,1.0,1.0,1.0
AC023024.2,1.0,1.0,1.0
AC023043.4,1.0,1.0,1.0
AC023157.2,1.0,1.0,1.0
AC023300.2,1.0,1.0,1.0
AC023421.1,1.0,1.0,1.0
AC023494.1,1.0,0.0,1.0
AC023509.3,1.0,1.0,1.0
AC023510.2,1.0,0.0,1.0
AC023632.2,1.0,0.0,1.0
AC023796.1,1.0,1.0,1.0
AC023818.1,0.0,0.0,0.0
AC024060.2,0.0,0.0,0.0
AC024075.1,1.0,1.0,1.0
AC024075.2,1.0,1.0,1.0
AC024075.3,1.0,1.0,1.0
AC024257.3,1.0,1.0,1.0
