,truth_class,DE_naive,DE_aware,predicted_class,sample_size,cn_signal,replicate
IL17RD,NEUTRAL,False,False,NEUTRAL,60,strong,2
UBE2C,DCG,False,True,DCG,60,strong,2
MUC7,DIG,True,True,DIG,60,strong,2
CCDC168,DIG,True,True,DIG,60,strong,2
FAM192BP,NEUTRAL,False,False,NEUTRAL,60,strong,2
ZNF835,DSG,True,False,DSG,60,strong,2
TMEM248,DSG,True,False,DSG,60,strong,2
JSRP1,NEUTRAL,False,False,NEUTRAL,60,strong,2
GOSR2,DIG,True,False,DSG,60,strong,2
RIMKLBP2,DCG,False,True,DCG,60,strong,2
IL1R1,NEUTRAL,False,False,NEUTRAL,60,strong,2
PPCS,DIG,False,True,DCG,60,strong,2
GOT2P2,DCG,True,True,DIG,60,strong,2
VANGL1,DIG,True,True,DIG,60,strong,2
LRCH1,NEUTRAL,True,True,DIG,60,strong,2
OR10AB1P,NEUTRAL,False,False,NEUTRAL,60,strong,2
FAM228A,DIG,True,True,DIG,60,strong,2
CHRM2,DSG,True,False,DSG,60,strong,2
CRYAB,NEUTRAL,False,False,NEUTRAL,60,strong,2
CMTR1,DSG,True,False,DSG,60,strong,2
PSORS1C2,DSG,True,False,DSG,60,strong,2
NHEJ1,NEUTRAL,False,False,NEUTRAL,60,strong,2
ZSCAN29,NEUTRAL,False,False,NEUTRAL,60,strong,2
USP12,NEUTRAL,False,False,NEUTRAL,60,strong,2
NAT10,DIG,True,True,DIG,60,strong,2
MRPS35,DSG,True,True,DIG,60,strong,2
PTPRZ1,DIG,True,True,DIG,60,strong,2
ZNF175,DSG,True,False,DSG,60,strong,2
MRPS18A,DSG,True,False,DSG,60,strong,2
TMPO-AS1,DIG,True,True,DIG,60,strong,2
KRT6B,DIG,True,True,DIG,60,strong,2
LINC00377,NEUTRAL,False,False,NEUTRAL,60,strong,2
DUSP14,DIG,True,True,DIG,60,strong,2
APOC3,NEUTRAL,False,False,NEUTRAL,60,strong,2
TKTL2,NEUTRAL,False,False,NEUTRAL,60,strong,2
RDH12,NEUTRAL,False,False,NEUTRAL,60,strong,2
TMED7-TICAM2,NEUTRAL,False,False,NEUTRAL,60,strong,2
SLC8A2,DIG,True,True,DIG,60,strong,2
CD14,DIG,True,True,DIG,60,strong,2
ICAM2,DCG,False,True,DCG,60,strong,2
LINC02572,NEUTRAL,False,False,NEUTRAL,60,strong,2
LINC01398,NEUTRAL,False,False,NEUTRAL,60,strong,2
MRAP2,DIG,True,True,DIG,60,strong,2
GNG3,DIG,False,True,DCG,60,strong,2
MAP3K9,NEUTRAL,False,False,NEUTRAL,60,strong,2
C17orf67,DSG,True,False,DSG,60,strong,2
IL19,DCG,False,True,DCG,60,strong,2
TRABD2A,DIG,True,True,DIG,60,strong,2
OVCH1-AS1,DSG,True,False,DSG,60,strong,2
ZNF887P,DIG,True,True,DIG,60,strong,2
CEACAMP1,DIG,True,True,DIG,60,strong,2
SSR1,DSG,True,False,DSG,60,strong,2
AKAP10,NEUTRAL,False,False,NEUTRAL,60,strong,2
PITX2,NEUTRAL,False,False,NEUTRAL,60,strong,2
KMT2B,DSG,True,False,DSG,60,strong,2
ARL14EPP1,DIG,True,True,DIG,60,strong,2
EGLN3,DIG,False,True,DCG,60,strong,2
MGST2,NEUTRAL,False,False,NEUTRAL,60,strong,2
CDH13,NEUTRAL,False,True,DCG,60,strong,2
SGTB,NEUTRAL,False,False,NEUTRAL,60,strong,2
DDX18P3,DSG,True,False,DSG,60,strong,2
FNDC5,NEUTRAL,False,False,NEUTRAL,60,strong,2
RP9P,DSG,False,False,NEUTRAL,60,strong,2
OPTC,DCG,False,True,DCG,60,strong,2
RPLP0,DIG,True,True,DIG,60,strong,2
MNX1-AS1,DSG,False,False,NEUTRAL,60,strong,2
