,sample_size,n_genes,cn_signal,replicate,tag,method,TP,FP,FN,TN,Precision,Recall,F1,Accuracy,AUC,MCC,n_pos,n_neg,FP_DSG,FP_NEUTRAL
82,20,5000,strong,10,S20_G5000_CNstrong_R10,PyDESeq2,1057,370,447,2622,0.7407147862648914,0.7027925531914894,0.7212555441828727,0.8182829181494662,0.7895647257936056,0.5870430265517175,1504,2992,280,90
83,20,5000,strong,10,S20_G5000_CNstrong_R10,DeConveil,1122,218,382,2774,0.8373134328358209,0.7460106382978723,0.7890295358649789,0.8665480427046264,0.8365748378655137,0.6943772078793705,1504,2992,33,185
84,20,5000,strong,11,S20_G5000_CNstrong_R11,PyDESeq2,1110,356,390,2635,0.757162346521146,0.74,0.7484828051247472,0.8338900022266755,0.8104881310598462,0.6245959448027607,1500,2991,278,78
85,20,5000,strong,11,S20_G5000_CNstrong_R11,DeConveil,1159,219,341,2772,0.8410740203193033,0.7726666666666666,0.8054204308547602,0.8753061678913382,0.849723503844868,0.7153103079486719,1500,2991,40,179
86,20,5000,strong,12,S20_G5000_CNstrong_R12,PyDESeq2,1078,379,424,2607,0.7398764584763212,0.7177097203728362,0.7286245353159851,0.821078431372549,0.7953920336626404,0.5953685621204835,1502,2986,305,74
87,20,5000,strong,12,S20_G5000_CNstrong_R12,DeConveil,1156,204,346,2782,0.85,0.7696404793608522,0.8078266946191475,0.8774509803921569,0.8506608290977068,0.7201024568055766,1502,2986,35,169
88,20,5000,strong,13,S20_G5000_CNstrong_R13,PyDESeq2,1070,361,430,2622,0.7477288609364081,0.7133333333333334,0.7301262367792563,0.8235556546955164,0.7961571125265393,0.5995319571898582,1500,2983,276,85
89,20,5000,strong,13,S20_G5000_CNstrong_R13,DeConveil,1136,194,364,2789,0.8541353383458646,0.7573333333333333,0.8028268551236749,0.8755297791657373,0.846149066934853,0.7151178380320018,1500,2983,34,160
90,20,5000,strong,14,S20_G5000_CNstrong_R14,PyDESeq2,1068,357,430,2633,0.7494736842105263,0.7129506008010681,0.7307560725282244,0.8246434937611408,0.7967763037450157,0.6012703487938214,1498,2990,265,92
91,20,5000,strong,14,S20_G5000_CNstrong_R14,DeConveil,1157,241,341,2749,0.8276108726752504,0.7723631508678238,0.7990331491712708,0.8703208556149733,0.8458805720894303,0.7043926890197902,1498,2990,38,203
92,20,5000,strong,15,S20_G5000_CNstrong_R15,PyDESeq2,1059,362,442,2625,0.745249824067558,0.7055296469020653,0.7248459958932238,0.820855614973262,0.7921689078166169,0.592676930811625,1501,2987,275,87
93,20,5000,strong,15,S20_G5000_CNstrong_R15,DeConveil,1126,223,375,2764,0.8346923647146034,0.7501665556295802,0.7901754385964912,0.8667557932263814,0.8377548546477329,0.6950850062185909,1501,2987,33,190
94,20,5000,strong,16,S20_G5000_CNstrong_R16,PyDESeq2,1054,397,449,2588,0.7263955892487939,0.7012641383898869,0.7136086662153013,0.8114973262032086,0.7841329067158815,0.5733860011956464,1503,2985,304,93
95,20,5000,strong,16,S20_G5000_CNstrong_R16,DeConveil,1138,216,365,2769,0.8404726735598228,0.7571523619427811,0.7966398319915996,0.8705436720142602,0.8423952764487774,0.7041263390322312,1503,2985,32,184
96,20,5000,strong,17,S20_G5000_CNstrong_R17,PyDESeq2,1100,380,405,2607,0.7432432432432432,0.7308970099667774,0.7370184254606366,0.8252448797862867,0.801839532770466,0.6062247113457885,1505,2987,296,84
97,20,5000,strong,17,S20_G5000_CNstrong_R17,DeConveil,1163,219,342,2768,0.841534008683068,0.7727574750830565,0.8056806373397991,0.8751113089937667,0.849719882503028,0.7153226301130292,1505,2987,42,177
98,20,5000,strong,18,S20_G5000_CNstrong_R18,PyDESeq2,1087,372,421,2611,0.7450308430431802,0.7208222811671088,0.7327266599258511,0.8234246270318415,0.7980578050153345,0.6011260484331428,1508,2983,279,93
99,20,5000,strong,18,S20_G5000_CNstrong_R18,DeConveil,1145,220,363,2763,0.8388278388278388,0.7592838196286472,0.7970762269404803,0.8701848140725896,0.8427662812524731,0.7038734327333955,1508,2983,32,188
100,20,5000,strong,19,S20_G5000_CNstrong_R19,PyDESeq2,1113,374,384,2621,0.7484868863483524,0.7434869739478958,0.7459785522788204,0.8312555654496884,0.8093060913145155,0.6196551444719743,1497,2995,294,80
101,20,5000,strong,19,S20_G5000_CNstrong_R19,DeConveil,1148,203,349,2792,0.8497409326424871,0.7668670674682698,0.8061797752808989,0.8771148708815673,0.8495437173735338,0.7185866872980978,1497,2995,39,164
102,20,5000,strong,2,S20_G5000_CNstrong_R2,PyDESeq2,1047,386,454,2604,0.7306350314026517,0.6975349766822119,0.7137014314928425,0.8129592518370073,0.7842189933578283,0.5752640005366217,1501,2990,281,105
103,20,5000,strong,2,S20_G5000_CNstrong_R2,DeConveil,1124,228,377,2762,0.8313609467455622,0.748834110592938,0.7879425166491413,0.8652861278111779,0.8362899649954656,0.6916491384703971,1501,2990,29,199
104,20,5000,strong,20,S20_G5000_CNstrong_R20,PyDESeq2,1074,372,428,2614,0.7427385892116183,0.715046604527297,0.728629579375848,0.82174688057041,0.7952326123775132,0.5962253562792215,1502,2986,282,90
105,20,5000,strong,20,S20_G5000_CNstrong_R20,DeConveil,1128,225,374,2761,0.8337028824833703,0.7509986684420772,0.7901926444833626,0.8665329768270945,0.8378235137253923,0.6947556183996092,1502,2986,22,203
106,20,5000,strong,3,S20_G5000_CNstrong_R3,PyDESeq2,1082,350,419,2641,0.755586592178771,0.7208527648234511,0.7378111148994204,0.828806767586821,0.801917522498653,0.6112018289403998,1501,2991,279,71
107,20,5000,strong,3,S20_G5000_CNstrong_R3,DeConveil,1139,211,362,2780,0.8437037037037037,0.7588274483677548,0.7990178884601894,0.872439893143366,0.8441412400648537,0.7081011390517251,1501,2991,48,163
108,20,5000,strong,4,S20_G5000_CNstrong_R4,PyDESeq2,1057,370,443,2624,0.7407147862648914,0.7046666666666667,0.7222412025965153,0.8190921228304406,0.7905430861723447,0.5886310863070044,1500,2994,283,87
109,20,5000,strong,4,S20_G5000_CNstrong_R4,DeConveil,1133,231,367,2763,0.8306451612903226,0.7553333333333333,0.7912011173184358,0.8669336893635959,0.8390895123580494,0.6955630882180588,1500,2994,33,198
110,20,5000,strong,5,S20_G5000_CNstrong_R5,PyDESeq2,1088,377,416,2610,0.7426621160409557,0.723404255319149,0.7329067025934658,0.8234246270318415,0.7985953315430697,0.6011754875576119,1504,2987,281,96
111,20,5000,strong,5,S20_G5000_CNstrong_R5,DeConveil,1127,213,377,2774,0.841044776119403,0.7493351063829787,0.7925457102672293,0.8686261411712314,0.8390130503458249,0.6993769923406663,1504,2987,31,182
112,20,5000,strong,6,S20_G5000_CNstrong_R6,PyDESeq2,1072,383,429,2604,0.7367697594501719,0.7141905396402398,0.7253044654939107,0.8190730837789661,0.7929841215107793,0.59062841284325,1501,2987,287,96
113,20,5000,strong,6,S20_G5000_CNstrong_R6,DeConveil,1151,218,350,2769,0.8407596785975164,0.7668221185876083,0.8020905923344948,0.8734402852049911,0.8469195962874433,0.7109799833877725,1501,2987,37,181
114,20,5000,strong,7,S20_G5000_CNstrong_R7,PyDESeq2,1099,367,405,2616,0.7496589358799455,0.730718085106383,0.7400673400673401,0.8279474036104302,0.8038437894522864,0.6116296865334818,1504,2983,283,84
115,20,5000,strong,7,S20_G5000_CNstrong_R7,DeConveil,1146,206,358,2777,0.8476331360946746,0.761968085106383,0.8025210084033614,0.8743035435703143,0.8464550448998224,0.7128863707496319,1504,2983,33,173
116,20,5000,strong,8,S20_G5000_CNstrong_R8,PyDESeq2,1051,373,452,2615,0.738061797752809,0.699268130405855,0.7181414417492313,0.8162992651970608,0.7872177332082823,0.5825043195458994,1503,2988,278,95
117,20,5000,strong,8,S20_G5000_CNstrong_R8,DeConveil,1127,244,376,2744,0.8220277169948942,0.7498336660013307,0.7842727905358385,0.8619461144511245,0.8340868463875463,0.6846413651826508,1503,2988,37,207
118,20,5000,strong,9,S20_G5000_CNstrong_R9,PyDESeq2,1122,399,378,2589,0.73767258382643,0.748,0.7428003972194638,0.8268716577540107,0.8072329317269077,0.6123649241611302,1500,2988,298,101
119,20,5000,strong,9,S20_G5000_CNstrong_R9,DeConveil,1172,259,328,2729,0.8190076869322153,0.7813333333333333,0.799727055612419,0.8692067736185384,0.847326639892905,0.7031313799270109,1500,2988,43,216
120,20,5000,weak,1,S20_G5000_CNweak_R1,PyDESeq2,1036,267,463,2725,0.795088257866462,0.6911274182788526,0.7394718058529621,0.837452683144066,0.8009447251822072,0.6254131061662491,1499,2992,184,83
121,20,5000,weak,1,S20_G5000_CNweak_R1,DeConveil,1121,220,378,2772,0.8359433258762118,0.7478318879252835,0.7894366197183098,0.8668448007125362,0.8371512380802889,0.6948110228176932,1499,2992,24,196
122,20,5000,weak,10,S20_G5000_CNweak_R10,PyDESeq2,1036,275,468,2717,0.7902364607170099,0.6888297872340425,0.736056838365897,0.8347419928825622,0.7984590112640801,0.6196740934964036,1504,2992,177,98
123,20,5000,weak,10,S20_G5000_CNweak_R10,DeConveil,1126,222,378,2770,0.8353115727002968,0.7486702127659575,0.7896213183730715,0.8665480427046264,0.8372361759016953,0.6945548629830653,1504,2992,32,190
124,20,5000,weak,11,S20_G5000_CNweak_R11,PyDESeq2,1065,255,435,2736,0.8068181818181818,0.71,0.7553191489361702,0.8463593854375417,0.812372116349047,0.6468014801353493,1500,2991,195,60
125,20,5000,weak,11,S20_G5000_CNweak_R11,DeConveil,1131,196,369,2795,0.8522984174830445,0.754,0.8001414927484967,0.8741928301046538,0.8442350384486793,0.711680729469441,1500,2991,38,158
126,20,5000,weak,12,S20_G5000_CNweak_R12,PyDESeq2,1046,265,456,2721,0.7978642257818459,0.6964047936085219,0.7436900106647707,0.839349376114082,0.8038286526649441,0.6305632242246945,1502,2986,198,67
127,20,5000,weak,12,S20_G5000_CNweak_R12,DeConveil,1127,200,375,2786,0.8492840994724944,0.7503328894806924,0.7967479674796748,0.8718805704099821,0.8416768265219938,0.7066065828553345,1502,2986,35,165
