,sample_size,n_genes,cn_signal,replicate,tag,comparison,TP,FP,FN,TN,Precision,Recall,F1 score,Accuracy,AUC,MCC,n_pos,n_neg
311,60,5000,strong,12,S60_G5000_CNstrong_R12,DIG_vs_rest,1338,311,159,3183,0.8114008489993936,0.8937875751503006,0.8506039415130324,0.9058304948908035,0.902388922091464,0.7840338465763899,1497,3494
312,60,5000,strong,13,S60_G5000_CNstrong_R13,DCG_vs_rest,521,102,229,4137,0.8362760834670947,0.6946666666666667,0.7589220684632192,0.9336540388855482,0.8353021939136589,0.7250080716768066,750,4239
313,60,5000,strong,13,S60_G5000_CNstrong_R13,DSG_vs_rest,557,26,191,4215,0.9554030874785592,0.7446524064171123,0.8369646882043577,0.9565043094808579,0.8692608884243072,0.8207137646626009,748,4241
314,60,5000,strong,13,S60_G5000_CNstrong_R13,DIG_vs_rest,1313,289,183,3204,0.8196004993757803,0.8776737967914439,0.8476436410587476,0.9053918620966126,0.8974684472076314,0.7801154681813482,1496,3493
315,60,5000,strong,14,S60_G5000_CNstrong_R14,DCG_vs_rest,536,131,213,4103,0.8035982008995503,0.7156208277703605,0.7570621468926554,0.9309652819586595,0.8423404091615148,0.718622584369824,749,4234
316,60,5000,strong,14,S60_G5000_CNstrong_R14,DSG_vs_rest,566,20,181,4216,0.9658703071672355,0.7576974564926372,0.8492123030757689,0.9596628537025887,0.8764880105881505,0.8344347499516165,747,4236
317,60,5000,strong,14,S60_G5000_CNstrong_R14,DIG_vs_rest,1317,266,177,3223,0.831964624131396,0.8815261044176707,0.8560285992850178,0.9110977322897853,0.902643247107087,0.7924945476052632,1494,3489
318,60,5000,strong,15,S60_G5000_CNstrong_R15,DCG_vs_rest,509,85,240,4154,0.8569023569023569,0.6795727636849133,0.7580044676098288,0.9348436246992783,0.8297604323260613,0.7274077231829505,749,4239
319,60,5000,strong,15,S60_G5000_CNstrong_R15,DSG_vs_rest,568,30,180,4210,0.9498327759197325,0.7593582887700535,0.8439821693907875,0.9578989574979951,0.8761414085359701,0.8268600651185924,748,4240
320,60,5000,strong,15,S60_G5000_CNstrong_R15,DIG_vs_rest,1312,299,184,3193,0.8144009931719429,0.8770053475935828,0.84454457676215,0.903167602245389,0.8956905317578452,0.7754883320579247,1496,3492
321,60,5000,strong,16,S60_G5000_CNstrong_R16,DCG_vs_rest,527,82,223,4157,0.8653530377668309,0.7026666666666667,0.775570272259014,0.9388655041090399,0.8416612408586931,0.7460060471916776,750,4239
322,60,5000,strong,16,S60_G5000_CNstrong_R16,DSG_vs_rest,559,28,189,4213,0.9522998296422487,0.7473262032085561,0.8374531835205993,0.9565043094808579,0.8703619933750869,0.8207242656019836,748,4241
323,60,5000,strong,16,S60_G5000_CNstrong_R16,DIG_vs_rest,1314,237,182,3256,0.8471953578336557,0.8783422459893048,0.8624876928126025,0.9160152335137302,0.905246130151824,0.8023338707685324,1496,3493
324,60,5000,strong,17,S60_G5000_CNstrong_R17,DCG_vs_rest,502,109,248,4130,0.8216039279869067,0.6693333333333333,0.7376928728875827,0.9284425736620565,0.8218098608162302,0.7016704698508412,750,4239
325,60,5000,strong,17,S60_G5000_CNstrong_R17,DSG_vs_rest,541,24,207,4217,0.9575221238938053,0.7232620320855615,0.824067022086824,0.9536981358989778,0.8588014947034739,0.8084206367727365,748,4241
