"","sample46","sample47","sample48","sample49","sample50","sample51","sample52","sample53","sample54","sample55","sample56","sample57","sample58","sample59","sample60","sample61","sample62","sample63","sample64","sample65","sample66","sample67","sample68","sample69","sample70","sample71","sample72","sample73","sample74","sample75","sample76","sample77","sample78","sample79","sample80","sample81","sample82","sample83","sample84","sample85","sample86","sample87","sample88","sample89","sample90"
"TLK2P1",1,2,1.5,1.5,2,1,2,1.5,1.5,1.5,1.5,1,0.5,1,2,1.5,1,1.5,0.5,1,1.5,1,1,2,2,2.5,2,1,2,2,2.5,2,2.5,1,1.5,1.5,2.5,1,1,2,2.5,1,1,1,1.5
"TLL1",1,2,1,0.5,1.5,1,1,1.5,1,1,1,1,1,1,2,1,1.5,1,0.5,1,1,0.5,1,1.5,2,2,1,0.5,1.5,2,1.5,1.5,2.5,1,1.5,1.5,2,1,1,1,1.5,2,1,1,1
"TLN1",0.5,1,1.5,1,1.5,1,0.5,1.5,1.5,2.5,1,1,1,1,1,1,1.5,2,1,1,1,1,0.5,1,1,2,1,0.5,2,2,3.5,1,1.5,1,1.5,1,1.5,1,0.5,1,2,2,1,0.5,1
"TLN2",1,2,0.5,1,2,1,0.5,1.5,0.5,1.5,2.5,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,2,1.5,1,1.5,2,2,1,1,1
"TLNRD1",1,2,0.5,1,2,1,0.5,1.5,1,2,2.5,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,2,1,1,1,1,2.5,1,1,1,1,1,2,1.5,1,1,2,2,1,1,1
"TLR1",1,1.5,1,0.5,2,1,1,1.5,1.5,2,2,1,1,1,2,1,1.5,1,0.5,1,1,0.5,1,1.5,2,1.5,1,1,1.5,2,3.5,1.5,2,1,1,1.5,2.5,1,1,1,2,2,1,1,1
"TLR10",1,1.5,1,0.5,2,1,1,1.5,1.5,2,2,1,1,1,2,1,1.5,1,0.5,1,1,0.5,1,1.5,2,1.5,1,1,1.5,2,3.5,1.5,2,1,1,1.5,2.5,1,1,1,2,2,1,1,1
"TLR2",1,2,1,0.5,1.5,1,1,1.5,1,1,1,1,1,1,2,1,1.5,1,0.5,1,1,0.5,1,1.5,2,2,1,0.5,1.5,2,1.5,1.5,2.5,1,1.5,1.5,2,1,1,1,2,2,1,1,1
"TLR3",1,2,1,0.5,1.5,1,1,1.5,1,1,1,1,1,1,2,1,1.5,1,0.5,1,1,0.5,1,1.5,2,2,1,0.5,1.5,2,1.5,1.5,2.5,1,1.5,1.5,2,1,1,0.5,1.5,2,1,1,1
"TLR4",0.5,1.5,1,1,1.5,1,0.5,1.5,1,1,1,1,0.5,1,1,1,1.5,2,1,1.5,1,1,1,1,1,1.5,1,1,1.5,1,1.5,1,2,1,1,1,1.5,1.5,0.5,0.5,2,2,1,1,1
"TLR5",2,3,2.5,1,3.5,1,1,3.5,2,2,2,1.5,1,1.5,2.5,1,1.5,3,1,1.5,1,1,1.5,2,2,2.5,1.5,1,4,2,4,2.5,1.5,1,2,1.5,3,2,1,2.5,2,3,1,2,1
"TLR6",1,1.5,1,0.5,2,1,1,1.5,1.5,2,2,1,1,1,2,1,1.5,1,0.5,1,1,0.5,1,1.5,2,1.5,1,1,1.5,2,3.5,1.5,2,1,1,1.5,2.5,1,1,1,2,2,1,1,1
"TLR7",0.5,1,1,1,2,1,0.5,1.5,1.5,1,1,1,0.5,1,1,1,0.5,0.5,0.5,1,0.5,0.5,1,1,1,2,1,0.5,2.5,1.5,1.5,1.5,1,1,1,0.5,1.5,2.5,0.5,1,2.5,1,1,1,0.5
"TLR8",0.5,1,1,1,2,1,0.5,1.5,1.5,1,1,1,0.5,1,1,1,0.5,0.5,0.5,1,0.5,0.5,1,1,1,2,1,0.5,2.5,1.5,1.5,1.5,1,1,1,0.5,1.5,2.5,0.5,1,2.5,1,1,1,0.5
"TM2D1",1,2,1,1,2,1,1,1.5,1.5,2,1,1,1,1,1,1,2,2,1,1,1,0.5,1,2.5,2.5,2,1.5,1,1,2,3,1.5,1.5,1,1.5,1.5,2.5,1.5,0.5,1.5,1.5,1,1,1,1
"TM2D2",0.5,2.5,3,0.5,7.5,1,0.5,2.5,4,4,2,1,1,0.5,1.5,1,0.5,2.5,0.5,5.5,1,1,1,0.5,0.5,1.5,2,0.5,1.5,1,2.5,1,1,1,3.5,4.5,1.5,2,0.5,1,3,1,1,1,0.5
"TM2D3",1,2,0.5,0.5,2,1,0.5,1.5,1,2,2,1,1,1.5,1,1,1,2,1,1,1,0.5,1,1,1.5,2,1,1,1,1,2.5,1,1,1,1,1,2,1.5,1,1,2,2,1,1,1
"TM4SF1",0.5,1.5,1.5,1,4,1,1.5,1.5,2,1.5,2,0.5,1,1,1,1,1.5,1.5,1,1,1,1,1,1.5,2,1,1.5,1,1,2.5,3,1.5,1.5,1,1.5,1.5,1.5,1.5,0.5,2,2,2,1,1,1
"TM4SF18",0.5,1.5,1.5,1,4,1,1.5,1.5,2,1.5,2,0.5,1,1,1,1,1.5,1.5,1,1,1,1,1,1.5,2,1,1.5,1,1,2.5,3,1.5,1.5,1,1.5,1.5,1.5,1.5,0.5,2,2,2,1,1,1
"TM4SF19",0.5,1.5,1.5,1,3.5,1,0.5,1.5,1.5,1.5,2,0.5,1,1,1,1,1.5,1.5,1,2,1,0.5,1,1.5,2,2.5,1.5,1.5,1,2.5,3,1.5,1.5,1,1.5,1,1.5,1.5,0.5,2,2,1,1,1,1
"TM4SF19-AS1",0.5,1.5,1.5,1,3.5,1,0.5,1.5,1.5,1.5,2,0.5,1,1,1,1,1.5,1.5,1,2,1,0.5,1,1.5,2,2.5,1.5,1.5,1,2.5,3,1.5,1.5,1,1.5,1,1.5,1.5,0.5,2,2,1,1,1,1
"TM4SF4",0.5,1.5,1.5,1,4,1,1.5,1.5,2,1.5,2,0.5,1,1,1,1,1.5,1.5,1,1,1,1,1,1.5,2,1,1.5,1,1,2.5,3,1.5,1.5,1,1.5,1.5,1.5,1.5,0.5,2,2,2,1,1,1
"TM6SF1",1,2,0.5,1,2,1,0.5,1.5,1,2,2.5,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,2,1,1,1,1,2.5,1,1,1,1,1,2,1.5,1,1,2,2,1,1,1
"TM7SF2",1,2,1.5,1,1.5,1,1,1.5,1.5,3.5,1.5,1,1,1,2,1.5,1,2,1,1,1,1,1,1.5,2,2,2,1,1.5,2.5,3,1.5,2.5,1,1,1.5,1,1.5,1,1,2.5,1.5,1,1,1
"TM7SF3",0.5,2,0.5,0.5,2,1,2,1.5,1,3,2,1,1,1,2,1,1,1.5,1,1.5,1,1.5,0.5,1.5,1.5,3.5,1,1,1.5,3,3,1.5,7.5,1,2,1,2.5,2,1,1,3,1.5,1,0.5,3
"TM9SF1",1,1.5,2,1,1,1,1.5,2,1,2.5,1.5,1,1,1,2,1,1,2,0.5,1,1,1,1,4.5,1,2.5,1,1,1.5,2.5,2.5,1.5,2.5,1,1,1,2,3,1,1.5,2.5,2,1.5,1,1
"TM9SF2",1,2,0.5,1,1,1,0.5,1.5,1,1,1,1,0.5,0.5,1,1,1,1,1,1,1,0.5,1,4,1.5,1.5,1,1,1,1,2,1,1,1,1,1,1,1,0.5,3,1,1.5,1,1.5,1
"TM9SF3",1,1.5,1,0.5,1.5,1,0.5,3,1.5,2,2,1,1,1,1,0.5,1.5,1.5,1,1,1,0.5,1,1,1,2,1,1,1.5,1,2,1.5,1.5,1,1.5,1.5,2,1,1,1.5,2,2.5,1,1,1
"TM9SF4",1,2,2,1,2.5,1,1.5,2,2,2.5,3,1,1,1,1.5,1,1.5,2,1,1.5,1,0.5,1,3,2,2,1,1,2,2,3,1.5,2,1,1.5,1.5,2,1.5,1,1.5,3.5,2,1,1,1
"TMA16",1,2,1,0.5,1.5,1,1,1.5,1,1,1,1,1,1,2,1,1.5,1,0.5,1,1,0.5,1,1.5,2,2,1,0.5,1.5,2,1.5,1.5,2.5,1,1.5,1.5,2,1,1,1,2,2,1,1,1
"TMA7",0.5,1.5,1,1,1,1,0.5,1.5,1,1,1,0.5,1,0.5,1,1,1.5,1,0.5,0.5,1,1,1,1.5,1,1,1,0.5,1,1.5,2.5,1,1.5,1,1.5,1.5,2,2,0.5,1,2,2,1,1,1
"TMBIM1",1,2,1,1,1.5,1,1,3,1,1.5,1.5,1,1,1,2,1,1.5,2,1,1,1,1,1,1.5,1.5,2.5,1.5,1,1.5,2,2,1,2,1,1,1,2.5,2,1,1.5,2,1.5,1,1,1
"TMBIM4",0.5,2,1,0.5,2,1,1,1.5,1.5,7.5,2,1,1,0.5,2,1,1.5,2,1,1.5,1,1,1,1.5,1.5,2,1,1,1.5,1.5,2,1.5,3,1,1.5,1.5,1.5,2.5,1,1,2,1.5,1,1,1
"TMBIM6",1,2,1,0.5,2,1,1,1.5,1.5,2,2,1,1,1,1,1,1.5,2,1,1.5,1,1,1,1.5,1.5,2,1,0.5,1.5,1.5,2,1.5,3,1,1.5,1.5,1.5,1.5,1,3,2,1.5,1,1,1
"TMC2",1,2,2,1,2.5,1,0.5,2,2,2.5,1,1,0.5,1,1.5,1,1.5,3,0.5,1.5,1,0.5,1,3,1,2,1,0.5,2,2.5,3,1.5,2,1,1.5,0.5,2,1.5,0.5,1,0.5,2,1,1,0.5
"TMC3-AS1",1,2,0.5,1,2,1,0.5,1.5,1,2,2.5,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,2,1,1,1,1,2.5,1,1,1,1,1,2,1.5,1,1,2,2,1,1,1
"TMC4",0.5,1,1,0.5,2,1,1,1.5,2,1.5,2,1.5,2.5,1,1.5,1,1.5,1.5,1,1.5,1,0.5,1,1.5,1,2.5,1,0.5,1,2,2,1.5,1,1,1,1,1.5,1.5,0.5,2.5,2,1,1,0.5,1
"TMC5",1,1.5,2,1,2,1,1,1.5,1,1.5,2,1,1,1.5,2,1,1.5,1,1,1,1,1,1,1,2.5,2,1,1,2,2,2,2,1.5,1,1,1.5,1.5,1.5,1,1.5,3.5,1.5,1,1,1
"TMC6",1,2,1.5,1.5,2,1,2,1.5,1.5,1.5,1.5,1,1,1,2.5,1.5,2.5,2.5,1,1,1.5,1,1,3.5,2,2.5,2.5,1,2.5,3,2.5,2,2.5,1,1.5,2,2.5,2,1,2,2.5,1.5,1,1,1.5
"TMC7",1,1.5,2,1,2,1,1,1.5,1,1.5,2,1,1,1.5,2,1,1.5,1,1,1,1,1,1,1,2.5,2,1,1,2,2,2,2,1.5,1,1,1.5,1.5,1.5,1,1.5,3.5,1.5,1,1,1
"TMC8",1,2,1.5,1.5,2,1,2,1.5,1.5,1.5,1.5,1,1,1,2.5,1.5,2.5,2.5,1,1,1.5,1,1,3.5,2,2.5,2.5,1,2.5,3,2.5,2,2.5,1,1.5,2,2.5,2,1,2,2.5,1.5,1,1,1.5
"TMCC1",0.5,1.5,1.5,1,4,1,1.5,1.5,2,1.5,2,0.5,1,1,1,1,1.5,1.5,1,1,1,1,1,1.5,2,2,1.5,1,1,2.5,3,1.5,1.5,1,1.5,1.5,1.5,1.5,0.5,2,2,2,1,1,1
"TMCC1-AS1",0.5,1.5,1.5,1,4,1,1.5,1.5,2,1.5,2,0.5,1,1,1,1,1.5,1.5,1,1,1,1,1,1.5,2,2,1.5,1,1,2.5,3,1.5,1.5,1,1.5,1.5,1.5,1.5,0.5,2,2,2,1,1,1
"TMCC2",2.5,3,2.5,1,3.5,1,2.5,3.5,2,2,2,1.5,1,1.5,2.5,1,2.5,3,1,1.5,1,1,1.5,2.5,2,2.5,1.5,1,4,2,4,2.5,1.5,1,2,1.5,3,2,1,2.5,2,3,1,2,1
"TMCC3",0.5,2,1,0.5,2,1,1,1.5,1.5,2.5,2,1,1,0.5,1,1,1.5,2,1,1,1,1,0.5,1.5,1.5,2,1,0.5,1.5,1,2,1.5,3,0.5,2,1.5,1.5,1.5,1,1,2,1.5,1,1,1
"TMCO1",1.5,3,2.5,1,3.5,1,2,3.5,2,2,3.5,1.5,1,1.5,2,1,2.5,3,1,1.5,1,1,1.5,2.5,2,2.5,3.5,1,4,2,4,2.5,1.5,1,2,2.5,3,1.5,1,2.5,2,3.5,1,2,1
"TMCO3",1,2,1,1,1,1,0.5,1.5,1,1,1,1,0.5,0.5,1,1,1,1,1,1,1,0.5,1,4,1.5,1.5,1,1,1,1,2,1,1,1,1,1,1,1,0.5,3,1,1.5,1,1.5,1
"TMCO4",0.5,2,1,1,2,1,1,1.5,1.5,2,1,1,1,1.5,1.5,1,1,2,1,1,1,0.5,1,2,1.5,2,1,1,1,2,2.5,1.5,1.5,1,1,1,1.5,1.5,0.5,2,2.5,2,1,1,1
"TMCO6",1,1.5,1,0.5,2,1,1,1.5,1,2,2,1,0.5,1,1,1,1.5,1,0.5,1,1,0.5,1,2,2,1,1,1,2,2,2.5,2,1.5,1,1,1.5,1.5,1.5,0.5,1,3,3,1,1,1
"TMED1",0.5,1,1,1,1,1,1,1.5,1,1,1,1,1,1,1.5,1,1.5,1,0.5,1,1,0.5,0.5,1.5,1,2,1,0.5,2,1.5,1.5,2,1,1,2.5,1,1.5,1,0.5,1,2,1,1,0.5,1
"TMED10",1,1.5,1.5,1,1,1,1.5,2,1,2,1.5,1,1,0.5,2,0.5,1.5,2,0.5,2,1,1,1,2.5,1,2.5,1,1,1.5,2,1.5,1,1,1,0.5,1,1,3,1,1.5,2.5,2,1.5,1,1
"TMED10P2",0.5,1.5,1.5,1,4,1,1.5,1.5,2,1.5,2,0.5,1,1,1,1,1.5,1.5,1,1,1,1,1,1.5,2,1,1.5,1,1,2.5,3,1.5,1.5,1,1.5,1.5,1.5,1.5,0.5,2,2,2,1,1,1
"TMED2",0.5,2,1,0.5,2,1,1,1.5,1.5,2.5,2,0.5,1,0.5,1,1,1.5,2,1,1,1,1,0.5,1.5,1.5,2,1,1,1.5,1,3,1.5,3,0.5,1.5,1.5,2.5,2,1,3,3,1.5,1,1,1
"TMED2-DT",0.5,2,1,0.5,2,1,1,1.5,1.5,2.5,2,0.5,1,0.5,1,1,1.5,2,1,1,1,1,0.5,1.5,1.5,2,1,1,1.5,1,3,1.5,3,0.5,1.5,1.5,2.5,2,1,3,3,1.5,1,1,1
"TMED3",1,2,0.5,1,2,1,0.5,1.5,1,1.5,2.5,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,2,1,1,1,1,2.5,1,1,1,1,1,2,1.5,1,1,2,2,1,1,1
"TMED4",1,3,2,2,1.5,1,1.5,1.5,1,3.5,3,1,1.5,1,2.5,2,4.5,1.5,1,2.5,1,0.5,1,2.5,2,3.5,2,0.5,1.5,4,2.5,2,1.5,1,1.5,3,3.5,2,1,1.5,3.5,2.5,1,1,2
"TMED5",1,2,1,1,2,1,1,1.5,1.5,2,2,1,1,1,1,1,1,2,1,1,1,0.5,1,2.5,2,2,1.5,1,1,2,3,1.5,1.5,1,1.5,1.5,3,1,0.5,1.5,1.5,1,1,1,1
"TMED6",1,1.5,2,0.5,1,1,0.5,1.5,1.5,2,2,1,0.5,1.5,2,1,1,2,1,1,1,1,1,1,1.5,2.5,1,1,2,2,2,1,1.5,1,1,1,2,1,1,1,3,1.5,1.5,1,1
"TMED7",1,1.5,1,0.5,2,1,1,1.5,1,1,2,1,0.5,1,1,1,1.5,1,0.5,1,1,0.5,1,2,2,1,1,1,2,2,1.5,2,1.5,1,1,1.5,1,1.5,0.5,1,3,1,1,1,1
"TMED8",1,1.5,1.5,1,1,1,1.5,2,1,2,1.5,1,1,0.5,2,0.5,1.5,2,0.5,2,1,1,1,2.5,1,2.5,1,1,1.5,2,1.5,1,2,1,0.5,1,1,3,1,1.5,2.5,2,1.5,1,1
"TMED9",1,1.5,1.5,0.5,2,1,1,3,1,1,2,1,0.5,1,2,1,2,1,0.5,1,1,0.5,1,2,2,1.5,1,1,2,2,2.5,2,1.5,1,1,1.5,1.5,1.5,0.5,1,3,2.5,1,1,1
"TMEFF2",1,2,1,1,1.5,1,1,3.5,1,1.5,1.5,1,1,1.5,2,1,1.5,2,1,1,1,1,1,2,1.5,2.5,1,1,1.5,2,2,1,2,1,1,1,2.5,2,1,1.5,2,1.5,1,1,1
"TMEM100",1,2,1.5,1.5,2,1,2,1.5,1.5,1.5,1.5,1,1.5,1,2.5,1.5,2.5,1.5,1,1,1.5,1,1,3,2,2.5,2,1,2,3,2.5,2,2.5,1,1,2,2.5,2,0.5,2,2.5,1.5,1,1,1.5
"TMEM101",1,2,1.5,1.5,2,1,2,1.5,1.5,1.5,2,1,0.5,1,2.5,1,1,1.5,1,1,1.5,1,1,2.5,2,2.5,2,1,2,2,2.5,2,2.5,1,1.5,1.5,2.5,7.5,0.5,2,2.5,1.5,1,1,1.5
"TMEM102",1,2,1,0.5,1,1,0.5,1.5,1,1,1,1,0.5,0.5,0.5,0.5,1,1,0.5,1,1.5,0.5,1,1,1,1,1,1,2,1,2,1,1,1,1,1.5,1,1.5,0.5,1,1,1,1,1,1
"TMEM104",1,2,1.5,1.5,2,1,2,1.5,1.5,1.5,1.5,1,1,1,2.5,1.5,2.5,1.5,1,1,1.5,1,1,3.5,2,2.5,2.5,1,2.5,3,2.5,2,2.5,1,1.5,2,2.5,2,1,2,2.5,1.5,1,1,1.5
"TMEM105",1,2,1.5,1.5,2,1,2,1.5,1.5,1.5,1.5,1,1,1,2.5,1.5,2.5,2.5,1,1,1.5,1,1,3.5,2,2.5,2.5,1,2.5,3,2.5,2,2.5,1,1.5,2,2.5,2,1,2,2.5,1.5,1,1,1.5
"TMEM106A",1,2,1.5,1.5,2,1,2,1.5,1.5,1.5,2,1,0.5,1,2.5,1,1,1.5,1,1,1.5,1,1,2.5,2,2.5,2,1,2,2,2.5,2,2.5,1,1.5,1.5,2.5,7.5,0.5,2,2.5,1.5,1,1,1.5
"TMEM106B",1,3,2,2,1.5,1,1.5,1.5,1,3.5,3,1,1.5,1,2.5,2,4.5,1.5,0.5,2.5,1,0.5,1,3,2,3.5,2,0.5,1.5,4,6.5,2,1.5,1,1.5,3,3.5,2,1,1.5,3.5,2.5,1,1,2
"TMEM106C",1,2,1,0.5,2,1,1,1.5,1.5,2,2,1,1,1,1,1,1.5,2,1,1.5,1,1,0.5,1.5,1.5,2,1,0.5,1.5,1.5,2,1.5,3,1,1.5,1.5,1.5,1.5,1,3,1,1.5,1,1,1
"TMEM107",1,2,1,0.5,1,1,0.5,1.5,1,1,1,1,0.5,0.5,0.5,0.5,1,1,0.5,1,1.5,0.5,1,1,1,1,1,1,2,1,2,1,1,1,1,1.5,1,1.5,0.5,1,1,1,1,1,1
"TMEM108",0.5,1.5,1.5,1,4,1,1.5,1.5,2,1.5,2,0.5,1,1,1,1,1.5,1.5,1,1,1,1,1,1.5,2,3.5,1.5,1,1,2.5,3,1.5,1.5,1,1.5,1.5,1.5,1.5,0.5,2,2,2,1,1,1
"TMEM109",1,2,1.5,1,1.5,1,1,1.5,1.5,1.5,1.5,1,1,1,2,1.5,1.5,2,1,1,1,1,1,1.5,2,2,2,1,1.5,2.5,3,1.5,1.5,1,1.5,1.5,1,2,1,1,2.5,1.5,1,1,1
"TMEM11",1,2,1,0.5,1,1,2,1.5,1,1,1,1,0.5,1,0.5,1.5,1,1,1,1,1.5,1,1,3,1,1,1,1,2,1,2,2,2.5,1,0.5,2,1,1.5,0.5,1,2.5,1,1,1,1
"TMEM115",0.5,1.5,1,1,1,1,0.5,1.5,1,1,1,0.5,1,0.5,1,1,1.5,1,0.5,0.5,1,1,1,1.5,1,1,1,0.5,1,1.5,2.5,1,1.5,1,1.5,1.5,2,2,0.5,1,2,2,1,1,1
"TMEM116",0.5,2,1,0.5,2,1,1,1.5,1.5,2.5,2,0.5,1,0.5,1,1,1.5,2,1,1,1,1,0.5,1.5,1.5,2,1,1,1.5,1.5,2,1.5,3,0.5,1.5,1.5,1.5,2,1,1,3,1.5,1,1,1
"TMEM117",1,2,1,0.5,2,1,1,1.5,1.5,2,2,1,1,1,3.5,1,1.5,1.5,1,1.5,1,1,0.5,1.5,1.5,2,1,0.5,1.5,1.5,2,1.5,3,1,1.5,1.5,1.5,1.5,1,3,1,1.5,1,1,1
"TMEM119",0.5,2,1,0.5,2,1,1,1.5,1.5,2.5,2,0.5,1,0.5,1,1,1.5,2,1,1,1,1,0.5,1.5,1.5,2,1,1,1.5,1,2,1.5,3,0.5,1.5,1.5,1.5,2,1,1,3,1.5,1,1,1
"TMEM120A",1,1,1.5,1,1.5,1,1.5,2,2,1.5,1.5,1,1,1,3.5,2,1.5,2,0.5,1.5,1,0.5,1,2.5,3,3,2,1,2,5,2,2.5,3,1,2,1.5,2.5,2,1,1.5,3.5,2.5,1,1,2
"TMEM120B",0.5,2,1,0.5,2,1,1,1.5,1.5,2.5,2,0.5,1,0.5,1,1,1.5,2,1,1,1,1,0.5,1.5,1.5,2,1,1,1.5,1,2,1.5,3,0.5,1.5,1.5,2.5,2,1,3,3,1.5,1,1,1
"TMEM121",1,1.5,1.5,1,1,1,1.5,2,1,2,1.5,1,1,0.5,1,0.5,1,2.5,0.5,1,1,1,1,2.5,1,2.5,1,1,1.5,2,1.5,1,2,1,1.5,0.5,1,3,1,0.5,2.5,2,1.5,1,1
"TMEM121B",0.5,2,1.5,1,3,1,1,1.5,1,1,1,1,0.5,0.5,1.5,1,1,1,0.5,1,1,0.5,1,3,1,1.5,1,0.5,1,3,1.5,2,1,1,2,1,1,1,0.5,2,2,1,1,1,1
"TMEM123",1,2,1.5,1,1.5,1,0.5,1.5,1.5,2,1.5,1,1,1,2,1.5,1,2,0.5,1,1,1,1.5,1.5,2,2,2,1,1.5,2.5,3,2,2.5,1,1,2,2,1,1,1.5,2.5,1.5,1,1,1
"TMEM125",1,2,1,1,2,1,1,1.5,1.5,2,1,1,1,1.5,2.5,1,1,2,1,1,1,0.5,1,2.5,1.5,2,1.5,1,1,2,2.5,1.5,1.5,1,1.5,1.5,1.5,1.5,0.5,1.5,2.5,2.5,1,1,1
"TMEM126A",1.5,2,1.5,1,1.5,1,1,1.5,1.5,4,1.5,1,1,1,2,1.5,1,2,1,1,1,1,1.5,1.5,2,2,2,1,1.5,2.5,3,2,2.5,1,1,2,1.5,2,3,2,2.5,1.5,1,1,1
"TMEM126B",1.5,2,1.5,1,1.5,1,1,1.5,1.5,4,1.5,1,1,1,2,1.5,1,2,1,1,1,1,1.5,1.5,2,2,2,1,1.5,2.5,3,2,2.5,1,1,2,1.5,2,3,2,2.5,1.5,1,1,1
"TMEM127",1,2,1,1,2,1,1,2.5,1,2.5,2,1,1,1,2,1,1.5,1.5,1,1,1,1,1,2,1.5,2,1,1,1.5,2.5,3.5,1.5,2,1,1.5,1,3,2,1,1.5,2,1.5,1,1,1
"TMEM128",1,1.5,1,0.5,2,1,1,1.5,1,2,2,1,1,1,2,1,1.5,1,0.5,1,1,0.5,1,1.5,2,1.5,1,1,1.5,2,3.5,1.5,2,1,1,1.5,1,1,1,1,2,2,1,1,1
"TMEM129",1,1.5,1,0.5,2,1,1,1.5,1,2,2,1,1,1,2,1,1.5,1,0.5,1,1,0.5,1,2.5,2,1.5,1,1,1.5,2,3,1.5,2,1,1,1.5,1,1,1,1,2,2,1,1,1
"TMEM130",1,1,1.5,1,1.5,1,1.5,2,2,1.5,1,1,1,1,1,2,1.5,2,1.5,1.5,1,0.5,1,2.5,3,3,2,1,2,4,3,2.5,3,1,2,1.5,3,2,1,1.5,3.5,2.5,1,1,2
"TMEM131",1,2,1,1,2,1,1,2.5,1,2.5,1.5,1,1,1,2,1,1.5,1.5,1,1,1,1,1,2,1.5,2,1,1,1.5,2,4,1.5,2,1,1.5,1,3,2,1,1.5,2,1.5,1,1,1
"TMEM131L",1,2,1,0.5,1.5,1,1,1.5,1,1,1,1,1,1,2,1,1.5,1,0.5,1,1,0.5,1,1.5,2,2,1,0.5,1.5,2,1.5,1.5,2.5,1,1.5,1.5,2,1,1,1,2,2,1,1,1
"TMEM132A",1,2,1.5,1,1.5,1,1,1.5,1.5,1.5,1.5,1,1,1,2,1.5,1.5,2,1,1,1,1,1,1.5,2,2,2,1,1.5,2.5,3,1.5,1.5,1,1.5,1.5,1,2,1,1,2.5,1.5,1,1,1
"TMEM132B",0.5,2,1,0.5,2,1,1,1.5,1.5,2.5,2,0.5,1,0.5,1,1,1.5,2,1,1,1,1,0.5,1.5,1.5,2,1,1,1.5,1,3,1.5,3,0.5,1.5,1.5,2.5,2,1,3,3,1.5,1,1,1
"TMEM132C",0.5,2,1,0.5,2,1,1,1.5,2,3,2,0.5,1,0.5,1,1,1.5,2,1,1,1,1,0.5,1.5,1.5,2,1,0.5,1.5,1,3,1.5,3,0.5,1.5,1.5,2.5,2,1,4,3,1.5,1,1,1
"TMEM132D",0.5,2,1,0.5,2,1,1,1.5,2,3,2,0.5,1,0.5,1,1,1.5,2,1,1,1,1,0.5,1.5,1.5,2,1,0.5,1.5,1,3,1.5,3,0.5,1.5,1.5,2.5,2,1,4,3,1.5,1,1,1
"TMEM132E",1,2,1.5,1.5,2,1,2,1.5,1.5,1.5,1.5,1,0.5,1,2,1.5,1,1.5,0.5,1,1.5,1,1,2,2,2.5,2,1,2,2,2.5,2,2.5,1,1.5,1.5,2.5,1,1,2,2.5,1.5,1,1,1.5
"TMEM134",1.5,2,1.5,1,1.5,1,1,1.5,1.5,3.5,1.5,1,1,1,2,1.5,1.5,2,1,1,1,1,1,1.5,2,2,2,1,1.5,2.5,3,2,2.5,1,1,1.5,3.5,1.5,1,1,2.5,1.5,1,1,1
"TMEM135",1.5,2,1.5,1,1.5,1,1,1.5,1.5,4,1.5,1,1,1,2,1.5,1,2,1,1,1,1,1.5,1.5,2,2,2,1,1.5,2.5,3,2,2.5,1,1,2,2,2,2.5,2,2.5,1.5,1,1,1
"TMEM138",1,2,1.5,1,1.5,1,1,1.5,1.5,1.5,1.5,1,1,1,2,1.5,1.5,2,1,1,1,1,1,1.5,2,2,2,1,1.5,2.5,3,1.5,1.5,1,1.5,1.5,1,1.5,1,1,2.5,1.5,1,1,1
"TMEM139",0.5,1,1.5,1,1.5,1,1.5,1.5,2,1.5,1,1,1,1,1,2,1.5,2,1.5,1.5,1,0.5,1,2.5,3,3,2,1,2,5,1.5,2.5,3,1,2,1.5,3,2,1,1.5,3.5,2.5,1,1,2
"TMEM140",1,1,1.5,1,1.5,1,1.5,1.5,2,1.5,1,1,1,1,1,2,1.5,2,1.5,1.5,1,0.5,1,2.5,3,3,2,1,2,4,2.5,2.5,3,1,2,1.5,3,2,1,1.5,3.5,2.5,1,1,2
"TMEM141",0.5,1.5,1.5,1,1.5,1,0.5,1.5,1,1,1,1,0.5,1,1,1,1.5,2,1,1.5,1,1,1,1,1,1.5,1,1,1.5,1,1.5,1,2,1,1,1,1.5,2,0.5,1,2,2,1,1,1
"TMEM143",0.5,1,1,0.5,2,1,1,1.5,2,1.5,2,1.5,0.5,1,1.5,1,1.5,1.5,1,1.5,1,0.5,1,1.5,1,1.5,1,0.5,1,2,2,1.5,1,1,1,1,1.5,1.5,0.5,2.5,2,1,1,0.5,1
"TMEM144",1,2,1,0.5,1.5,1,1,1.5,1,1,1,1,1,1,2,1,1.5,1,0.5,1,1,0.5,1,1.5,2,2,1,0.5,1.5,2,1.5,1.5,2.5,1,1.5,1.5,2,1,1,1,2,2,1,1,1
"TMEM147",1,2,2,2.5,2,1,2,3,1.5,1.5,2,1.5,2.5,1,1.5,1,1.5,1.5,1,1.5,1,0.5,1,1.5,5,2.5,1,0.5,2,2,5,1.5,1,1,1,1.5,4,2,0.5,2,2,2,1,0.5,1
