,padjScreen,p_naive,p_aware
AC007344.1,1.0,1.0,1.0
AC007383.1,1.0,1.0,0.0
AC007384.1,1.0,1.0,1.0
AC007389.1,1.0,1.0,1.0
AC007390.1,0.0,0.0,0.0
AC007405.1,1.0,1.0,1.0
AC007405.2,1.0,1.0,1.0
AC007405.3,1.0,1.0,1.0
AC007448.5,1.0,1.0,1.0
AC007485.1,1.0,1.0,1.0
AC007485.2,1.0,1.0,1.0
AC007541.1,1.0,1.0,1.0
AC007566.1,1.0,1.0,1.0
AC007608.1,1.0,1.0,1.0
AC007611.1,1.0,1.0,1.0
AC007613.1,1.0,1.0,1.0
AC007622.2,0.0,0.0,0.0
AC007637.1,1.0,1.0,1.0
AC007638.2,0.0,0.0,0.0
AC007681.1,1.0,1.0,1.0
AC007683.1,1.0,1.0,1.0
AC007684.2,1.0,1.0,1.0
AC007686.3,1.0,1.0,0.0
AC007688.2,1.0,1.0,0.0
AC007743.1,1.0,1.0,1.0
AC007773.1,1.0,1.0,1.0
AC007780.1,0.0,0.0,0.0
AC007786.1,1.0,1.0,1.0
AC007842.1,1.0,1.0,1.0
AC007877.1,0.0,0.0,0.0
AC007878.1,1.0,1.0,1.0
AC007881.3,1.0,1.0,1.0
AC007881.4,1.0,1.0,1.0
AC007906.2,1.0,1.0,1.0
AC007938.1,1.0,1.0,1.0
AC007938.3,1.0,1.0,1.0
AC007993.1,1.0,1.0,1.0
AC007993.2,1.0,1.0,1.0
AC007993.3,1.0,1.0,1.0
AC007996.1,1.0,1.0,1.0
AC007998.3,1.0,1.0,1.0
AC008014.1,1.0,1.0,1.0
AC008026.1,1.0,1.0,1.0
AC008033.3,1.0,1.0,1.0
AC008035.1,1.0,0.0,1.0
AC008038.1,0.0,0.0,0.0
AC008074.2,0.0,0.0,0.0
AC008079.1,1.0,1.0,1.0
AC008105.2,1.0,1.0,1.0
AC008105.3,1.0,1.0,1.0
AC008115.3,1.0,1.0,1.0
AC008115.4,1.0,1.0,1.0
AC008124.1,1.0,1.0,1.0
AC008147.2,1.0,0.0,1.0
AC008264.2,1.0,1.0,1.0
AC008267.3,1.0,1.0,1.0
AC008269.1,1.0,0.0,1.0
