"","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51","sample52","sample53","sample54","sample55","sample56","sample57","sample58","sample59","sample60","sample61","sample62","sample63","sample64"
"SLC46A2",1.5,0.5,1,1,1.5,2,1,1,1,1,1,1,1,1.5,1,1,1.5,1,1,1,1.5,1.5,1,2,1,1.5,1,0.5,1.5,1,1,1
"SLC46A3",1,1,1,2,2.5,1,1,1,1,0.5,1.5,1,1,1.5,1,1,2,1,1,1,1,0.5,1,1.5,1.5,1.5,1,1,2,1,1.5,1
"SLC47A1",1,0.5,1,0.5,2,1,1,1,0.5,2,2.5,1,1,0,1,1,1,1,1,1,0.5,1,1,1,1,1,0.5,1,1,2,1,1.5
"SLC47A2",1,0.5,1,0.5,2,1,1,1,0.5,2,1.5,1,1,0,1,1,1,1,1,1,0.5,1,1,1,1,1,0.5,1,1,2,1,1.5
"SLC48A1",1,0.5,1,1,1.5,1,1,1,0.5,1,1.5,1,1,1,1,1,1,0.5,1,1,1.5,1,1,2,1,1.5,1,1,0.5,2,1,1.5
"SLC4A1",1,0.5,1,1,1.5,1,1,1,1,1.5,1.5,1.5,1,1,1,0.5,1.5,1,1,1,1.5,1,1,1,1.5,1,1,1,1,2,1,1.5
"SLC4A10",1.5,1,1,1,1,2,1,0.5,1,1,1.5,0.5,1,1.5,1,1,1.5,1,1,1,1,1,1,1.5,1.5,1,1,1,1.5,1.5,1,1
"SLC4A11",2.5,1.5,1,1.5,2,3.5,1,1,1.5,1,1.5,0.5,1,2.5,1,1.5,2,1,1,1,1.5,0.5,1,1.5,1.5,3.5,1,1.5,2,1.5,1.5,1.5
"SLC4A1AP",1,1,1,1,1,2,1,1,1,1,1.5,1,1,1.5,1,1,1,1,1,1,1,1,1.5,1.5,1,1.5,1,1,1.5,1.5,1,1
"SLC4A2",1,0.5,1,1,1,2.5,1,1,1,0.5,1.5,1,1,1,1,1,1.5,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1
